,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.43,0.33,0.29,0.26,0.22,0.26,0.63,,0.87,0.35,0.76,0.7,0.71,0.6,0.66,0.62
f_1,0.24,2.43,0.4,0.29,0.31,0.27,0.61,0.64,0.67,0.44,0.53,,0.86,0.4,0.42,0.8
e_1,0.26,0.29,2.49,0.26,0.28,0.21,0.54,0.96,0.54,0.58,0.54,0.52,0.83,0.56,,0.75
c_1,0.27,0.22,0.28,2.55,0.43,,0.56,0.58,,0.59,0.47,0.64,0.82,0.74,0.66,0.96
b_1,0.3,0.24,0.29,0.25,2.73,0.44,0.69,0.71,0.49,0.54,,0.66,0.74,0.52,0.64,0.52
a_1,0.3,0.37,0.28,,0.19,3.17,0.38,0.54,0.63,0.54,0.65,,0.73,,,0.73
h_1,0.54,0.7,0.49,0.58,0.49,0.7,3.79,1.34,1.14,1.18,0.94,1.05,,1.11,1.22,1.48
d_0,,0.57,0.54,0.91,0.58,0.84,1.1,3.41,1.28,1.01,1.74,1.32,1.8,1.43,1.1,1.87
c_0,0.55,0.54,0.73,,0.67,0.63,1.31,1.36,3.48,1.12,2.17,1.34,1.5,1.46,1.1,1.59
g_1,0.84,0.54,0.37,0.54,0.54,0.54,0.94,1.15,1.16,4.23,1.16,1.56,1.47,,1.14,
b_0,0.53,0.55,0.49,0.77,,0.51,1.37,1.16,1.32,1.26,3.73,1.48,1.93,1.73,,1.78
f_0,0.63,,0.61,0.66,0.64,,1.1,1.41,1.52,1.04,1.38,3.82,2.04,1.71,2.28,1.44
h_0,0.71,0.8,0.74,0.66,0.68,0.77,,1.67,1.7,2.23,1.62,1.38,,1.8,1.54,2.92
a_0,0.66,0.67,0.62,0.52,0.56,,1.4,1.16,1.52,,1.4,1.03,1.72,4.58,,1.96
e_0,0.57,0.75,,0.56,0.67,,0.94,1.65,1.95,1.22,,1.41,1.88,,4.6,1.51
g_0,1.21,0.71,0.65,0.6,0.83,0.82,1.23,1.42,1.38,,1.56,2.45,1.65,1.65,2.16,
