,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,1.11,0.92,0.93,0.84,0.87,0.89,0.94,0.89,0.91,0.83,0.86,0.8,0.99,0.95
e_1,0.83,1.0,1.06,0.88,1.03,0.97,1.06,1.53,1.3,1.01,1.09,1.25,1.12,1.24,1.2,1.12
c_1,0.89,0.93,1.0,1.17,1.4,0.98,1.0,0.67,1.04,0.7,0.83,0.87,0.9,0.8,0.8,0.98
d_1,1.1,1.13,0.86,1.0,0.91,0.82,1.11,1.01,0.79,1.33,1.1,0.95,1.11,1.13,1.08,0.87
b_1,1.05,0.98,0.71,1.11,1.0,1.61,0.93,1.05,0.89,1.18,0.85,1.09,1.08,0.99,0.86,0.96
a_1,1.19,1.02,1.01,1.21,0.63,1.0,1.11,1.16,1.03,0.97,1.22,0.99,1.11,1.07,1.08,1.14
h_1,1.19,0.94,1.0,0.91,1.11,0.87,1.0,0.87,1.14,0.98,0.93,0.97,0.99,1.05,0.92,1.08
d_0,1.04,0.65,1.53,1.03,1.02,0.86,1.12,1.0,1.14,0.88,0.93,0.87,1.06,1.19,1.05,1.13
g_1,1.02,0.78,1.0,1.28,1.09,1.0,0.88,0.88,1.0,1.0,0.99,1.13,0.82,1.08,0.88,0.99
c_0,1.15,1.02,1.3,0.72,0.82,1.01,0.99,1.16,0.99,1.0,1.58,1.11,0.99,0.97,1.16,1.03
b_0,1.17,0.89,1.2,0.9,1.23,0.82,1.11,1.03,1.01,0.66,1.0,0.97,0.92,1.05,1.38,1.03
f_0,1.1,0.81,1.14,1.04,1.0,1.05,1.0,1.12,0.86,0.9,0.98,1.0,1.03,1.41,0.88,0.82
h_0,1.15,0.9,1.1,0.95,0.97,0.9,1.06,0.92,1.23,0.98,1.0,0.94,1.0,1.01,0.88,1.3
e_0,1.18,0.83,1.22,0.91,1.06,1.01,0.97,0.85,0.97,1.03,0.93,0.76,0.97,1.0,0.88,0.98
a_0,1.0,0.89,1.18,0.92,1.2,0.86,1.08,0.95,1.14,0.9,0.73,1.18,1.16,1.19,1.0,1.2
g_0,1.02,0.89,1.04,1.15,1.0,0.85,0.92,0.9,1.03,0.96,0.94,1.19,0.76,0.97,0.81,1.0
