,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.4,0.42,0.52,0.45,0.49,0.1,0.08,0.14,0.09,0.08,0.12,0.05,0.09,0.07,0.08
e_1,0.27,0.16,0.5,0.54,0.49,0.46,0.15,0.11,0.15,0.11,0.1,0.14,0.07,0.09,0.07,0.13
d_1,0.52,0.56,0.16,0.43,0.42,0.36,0.11,0.09,0.08,0.15,0.09,0.08,0.07,0.07,0.04,0.08
c_1,0.51,0.36,0.56,0.15,0.43,0.42,0.15,0.13,0.13,0.05,0.1,0.09,0.06,0.09,0.06,0.08
b_1,0.61,0.49,0.41,0.24,0.13,0.43,0.14,0.15,0.13,0.1,0.18,0.1,0.07,0.09,0.07,0.08
a_1,0.45,0.49,0.55,0.47,0.22,0.09,0.13,0.1,0.15,0.11,0.12,0.1,0.08,0.18,0.09,0.11
h_1,0.44,0.39,0.39,0.41,0.37,0.37,0.06,0.08,0.11,0.09,0.09,0.07,0.08,0.08,0.06,0.09
c_0,0.45,0.44,0.23,0.62,0.43,0.37,0.12,0.06,0.11,0.13,0.09,0.08,0.06,0.09,0.06,0.07
g_1,0.43,0.39,0.4,0.54,0.36,0.31,0.09,0.07,0.05,0.08,0.08,0.07,0.04,0.08,0.07,0.09
d_0,0.38,0.24,0.68,0.42,0.44,0.42,0.12,0.08,0.13,0.05,0.08,0.09,0.07,0.08,0.06,0.08
b_0,0.38,0.38,0.35,0.55,0.54,0.35,0.11,0.04,0.11,0.08,0.05,0.08,0.06,0.09,0.06,0.08
f_0,0.7,0.38,0.38,0.4,0.34,0.32,0.13,0.07,0.07,0.08,0.08,0.04,0.06,0.09,0.03,0.08
h_0,0.39,0.38,0.39,0.39,0.36,0.32,0.16,0.08,0.13,0.09,0.08,0.09,0.08,0.08,0.06,0.07
a_0,0.46,0.36,0.37,0.48,0.44,0.42,0.15,0.07,0.09,0.08,0.04,0.07,0.06,0.04,0.06,0.09
g_0,0.39,0.4,0.4,0.39,0.41,0.32,0.08,0.09,0.17,0.08,0.08,0.1,0.05,0.09,0.08,0.08
e_0,0.55,0.58,0.33,0.43,0.43,0.36,0.11,0.07,0.1,0.07,0.09,0.04,0.06,0.09,0.04,0.03
