,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.36,0.15,0.15,0.11,0.11,0.15,0.15,0.12,0.14,0.15,0.05,0.16,0.09,0.14,0.06
e_1,0.24,0.89,0.15,0.21,0.13,0.07,0.18,0.18,0.13,0.31,0.14,0.16,0.17,0.12,0.14,0.05
d_1,0.2,0.17,0.9,0.16,0.16,0.08,0.19,0.32,0.11,0.06,0.14,0.15,0.15,0.1,0.14,0.12
c_1,0.19,0.15,0.2,0.89,0.29,0.1,0.17,0.06,0.11,0.15,0.1,0.13,0.17,0.08,0.15,0.09
b_1,0.19,0.16,0.21,0.2,0.88,0.19,0.17,0.15,0.11,0.15,0.06,0.14,0.14,0.1,0.11,0.09
a_1,0.17,0.2,0.2,0.2,0.14,0.87,0.18,0.18,0.16,0.16,0.15,0.15,0.18,0.04,0.13,0.09
h_1,0.32,0.19,0.27,0.19,0.16,0.12,0.57,0.19,0.21,0.2,0.18,0.16,0.09,0.1,0.25,0.1
c_0,0.31,0.21,0.23,0.14,0.13,0.12,0.23,0.43,0.23,0.22,0.38,0.21,0.21,0.16,0.16,0.14
g_1,0.23,0.21,0.34,0.21,0.18,0.1,0.2,0.2,0.54,0.17,0.16,0.25,0.17,0.12,0.08,0.11
d_0,0.26,0.2,0.14,0.44,0.16,0.11,0.22,0.14,0.17,0.42,0.2,0.17,0.19,0.15,0.23,0.13
b_0,0.32,0.22,0.25,0.25,0.06,0.1,0.18,0.21,0.17,0.23,0.44,0.18,0.22,0.3,0.19,0.11
f_0,0.16,0.17,0.27,0.25,0.2,0.13,0.24,0.22,0.18,0.2,0.17,0.43,0.19,0.15,0.16,0.3
h_0,0.4,0.22,0.23,0.23,0.16,0.11,0.11,0.2,0.25,0.19,0.18,0.16,0.13,0.12,0.2,0.08
a_0,0.27,0.2,0.32,0.22,0.18,0.05,0.22,0.2,0.14,0.24,0.17,0.18,0.23,0.37,0.17,0.14
g_0,0.21,0.21,0.36,0.24,0.18,0.09,0.21,0.23,0.13,0.19,0.18,0.26,0.2,0.1,0.1,0.14
e_0,0.28,0.12,0.26,0.27,0.18,0.12,0.2,0.26,0.13,0.2,0.15,0.18,0.22,0.11,0.21,0.36
