,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,1.15,2.39,2.22,2.21,1.99,0.73,0.75,0.44,0.44,0.47,0.47,0.47,0.29,1.05,0.41
f_1,1.7,0.43,1.87,2.71,1.79,2.29,0.45,0.71,0.37,0.35,0.36,0.94,0.41,0.2,0.44,0.35
d_1,2.56,2.34,0.42,1.97,2.02,1.82,0.56,0.39,0.38,1.27,0.4,0.39,0.42,0.29,0.34,0.2
c_1,1.69,2.16,2.67,0.42,2.46,1.78,0.52,0.46,0.84,0.24,0.43,0.41,0.34,0.32,0.48,0.27
b_1,2.7,2.74,2.04,1.11,0.4,2.39,0.7,0.7,0.57,0.54,1.45,0.45,0.56,0.38,0.37,0.35
a_1,3.11,2.69,2.72,2.78,1.45,0.33,0.86,1.18,0.69,0.61,0.78,0.58,1.4,0.49,0.45,0.42
h_1,2.88,3.35,2.77,3.28,3.51,2.8,0.34,0.84,0.65,0.66,0.7,0.61,0.64,0.8,0.64,0.53
g_1,3.29,4.32,3.46,4.63,4.25,3.51,0.79,0.3,0.73,0.88,0.82,0.84,0.83,0.38,0.75,0.72
c_0,4.35,3.64,1.95,10.31,3.74,4.77,1.18,1.23,0.39,1.24,0.64,0.79,0.91,0.5,0.62,0.49
d_0,2.02,3.54,8.67,4.0,4.22,3.86,1.32,1.41,0.95,0.39,0.97,0.85,0.74,0.51,0.71,0.65
b_0,3.78,4.22,3.15,7.02,6.01,2.92,1.01,1.2,0.39,0.97,0.35,0.74,0.85,0.61,0.67,0.56
f_0,4.43,8.09,3.97,3.9,4.38,4.07,1.38,0.63,0.74,0.82,0.79,0.35,0.86,0.71,0.75,0.35
a_0,4.19,4.0,4.64,5.67,5.63,8.03,1.38,1.38,0.77,1.29,0.44,1.23,0.32,0.65,0.86,0.89
h_0,4.41,4.9,4.72,5.11,4.8,4.32,2.47,1.43,0.89,1.13,0.77,0.94,0.9,1.31,0.79,0.64
e_0,9.06,7.06,4.66,4.82,4.26,5.2,1.63,1.32,1.0,1.22,1.06,0.49,1.09,0.75,0.33,0.49
g_0,5.44,5.81,4.79,5.16,4.91,4.56,1.09,2.35,0.95,1.21,1.02,0.95,0.87,0.55,0.82,0.98
