,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.15,43.29,71.8,88.64,96.9,74.92,24.44,27.68,18.08,15.45,21.71,15.61,12.65,12.93,24.71,
f_1,80.22,1.15,97.15,88.64,76.5,84.7,16.92,21.62,15.98,22.89,14.89,,7.54,13.96,24.71,17.37
d_1,94.62,115.9,1.15,77.83,96.9,162.33,24.44,15.73,,19.31,22.65,16.61,13.87,6.02,17.3,27.5
c_1,92.25,105.68,117.96,1.15,90.84,84.7,32.59,24.71,13.21,,15.32,17.17,14.83,15.17,14.42,17.37
b_1,99.73,108.88,110.1,69.37,1.15,92.76,25.88,38.44,16.36,32.53,,24.52,12.65,12.93,26.62,23.57
a_1,175.71,189.11,206.44,145.05,107.67,1.15,51.76,53.23,32.71,36.35,34.73,32.19,22.63,18.37,,
h_1,68.33,99.81,103.22,75.98,103.82,84.7,2.0,19.77,19.63,14.71,14.89,24.52,,15.86,20.35,18.33
g_1,147.6,102.66,143.61,99.72,126.39,108.22,29.33,2.0,29.87,17.66,23.68,20.6,15.36,,31.45,20.62
d_0,54.26,87.63,,93.85,90.84,74.92,25.14,27.68,2.97,17.66,15.79,27.11,9.56,14.54,17.3,17.37
c_0,136.67,76.45,48.57,,85.5,139.14,31.43,32.95,22.9,2.96,23.68,20.6,17.2,19.39,11.93,
b_0,115.31,112.28,110.1,187.71,,149.85,28.39,43.25,21.47,12.12,3.12,27.11,16.54,15.17,17.3,30.0
f_0,131.79,,110.1,138.74,132.14,139.14,24.44,19.77,26.42,19.94,24.81,3.08,16.54,9.97,31.45,
h_0,102.5,97.11,89.27,81.82,67.6,114.59,,28.83,14.93,28.09,17.97,15.61,,15.17,12.36,20.62
g_0,153.75,156.22,137.62,132.96,121.12,102.53,23.78,,21.47,18.18,21.71,19.81,13.03,,,19.41
a_0,246.0,326.64,127.04,159.55,223.62,,41.9,46.13,32.71,34.33,22.65,32.19,21.5,,3.23,
e_0,,189.11,220.2,290.09,223.62,,44.0,46.13,45.8,,37.21,,18.7,26.85,,2.92
