,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.75,0.68,0.4,0.38,0.33,0.4,0.79,0.6,0.6,0.71,0.72,0.12,0.95,0.82,0.52,0.81
e_1,0.43,3.92,0.37,0.39,0.3,0.39,0.84,0.77,1.51,0.87,0.89,0.83,0.78,0.79,0.27,0.76
d_1,0.39,0.39,4.05,0.32,0.38,0.35,0.85,0.66,0.25,1.51,0.82,0.98,0.93,0.72,0.98,0.94
c_1,0.3,0.42,0.42,4.57,0.86,0.36,0.56,0.63,0.74,0.15,0.78,0.79,0.76,0.77,0.74,1.0
b_1,0.37,0.35,0.36,0.39,5.11,0.72,0.66,0.63,0.93,0.87,0.26,1.02,0.94,0.63,0.91,0.66
a_1,0.48,0.41,0.39,0.35,0.37,6.77,0.78,1.03,0.6,0.75,0.71,0.5,0.8,0.27,0.84,0.7
h_1,1.06,0.47,0.69,0.75,0.63,0.57,4.83,1.76,1.49,1.39,1.52,1.55,0.62,1.21,1.64,1.97
g_1,0.59,0.53,0.98,0.81,0.56,0.45,1.24,6.43,1.35,1.3,1.73,2.46,1.14,1.52,1.38,0.62
d_0,0.81,0.69,0.24,1.67,0.62,0.57,1.21,1.09,3.72,0.81,1.18,1.28,1.61,1.3,1.61,1.2
c_0,0.8,0.75,0.81,0.35,0.61,0.53,1.49,1.08,1.66,3.32,2.84,1.49,2.14,1.41,2.16,1.99
b_0,0.81,0.62,0.74,0.72,0.36,0.45,1.44,1.64,1.5,1.37,4.42,1.84,1.98,2.9,1.54,1.77
f_0,0.33,0.61,0.86,0.8,0.73,0.9,1.38,1.69,1.66,1.36,1.2,4.73,1.42,2.05,3.23,1.83
h_0,1.06,0.58,0.69,0.7,0.59,0.59,0.58,1.34,1.27,1.32,1.55,1.37,0.8,1.75,1.43,2.35
a_0,0.64,0.66,0.74,0.81,0.72,0.25,1.46,1.72,1.65,1.85,1.59,1.83,1.54,6.21,1.77,1.62
e_0,0.64,0.25,0.83,0.97,0.62,0.8,1.3,1.37,1.3,1.58,1.78,1.84,2.37,1.73,5.58,1.84
g_0,0.6,0.59,1.27,0.62,0.62,0.69,1.05,0.49,1.14,1.47,1.35,1.88,1.43,1.78,1.3,0.64
