,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.27,0.49,0.5,0.51,0.45,0.13,0.16,0.1,0.1,0.1,0.11,0.06,0.09,0.14,0.08
f_1,0.44,0.17,0.43,0.46,0.46,0.38,0.1,0.14,0.09,0.09,0.09,0.12,0.05,0.09,0.08,0.07
d_1,0.56,0.48,0.15,0.45,0.41,0.39,0.14,0.08,0.09,0.17,0.09,0.08,0.05,0.08,0.09,0.04
c_1,0.33,0.45,0.61,0.14,0.46,0.47,0.13,0.12,0.14,0.05,0.1,0.08,0.07,0.1,0.07,0.06
b_1,0.47,0.54,0.42,0.24,0.13,0.52,0.16,0.14,0.14,0.1,0.16,0.09,0.08,0.08,0.08,0.07
a_1,0.5,0.62,0.4,0.51,0.22,0.1,0.14,0.14,0.1,0.13,0.12,0.08,0.08,0.18,0.1,0.07
h_1,0.41,0.38,0.4,0.47,0.38,0.31,0.06,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07
g_1,0.37,0.42,0.4,0.45,0.45,0.4,0.08,0.05,0.09,0.09,0.07,0.07,0.05,0.07,0.07,0.07
c_0,0.45,0.48,0.24,0.74,0.41,0.33,0.12,0.11,0.05,0.13,0.08,0.08,0.06,0.07,0.08,0.06
d_0,0.24,0.38,0.62,0.43,0.47,0.36,0.13,0.14,0.09,0.06,0.1,0.08,0.07,0.07,0.08,0.08
b_0,0.37,0.43,0.35,0.64,0.57,0.37,0.11,0.11,0.04,0.08,0.05,0.07,0.06,0.07,0.08,0.05
f_0,0.35,0.69,0.41,0.38,0.39,0.36,0.11,0.07,0.08,0.08,0.08,0.05,0.06,0.07,0.08,0.04
h_0,0.39,0.45,0.36,0.4,0.34,0.35,0.15,0.1,0.08,0.09,0.08,0.07,0.07,0.07,0.08,0.06
a_0,0.34,0.41,0.38,0.45,0.55,0.42,0.11,0.11,0.07,0.09,0.04,0.08,0.06,0.04,0.09,0.05
e_0,0.46,0.48,0.38,0.36,0.38,0.38,0.12,0.09,0.09,0.08,0.09,0.04,0.05,0.07,0.04,0.06
g_0,0.36,0.44,0.41,0.39,0.39,0.3,0.09,0.14,0.08,0.08,0.09,0.09,0.04,0.07,0.08,0.08
