,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.8,0.93,1.3,0.98,1.07,1.07,1.42,1.06,0.88,0.92,0.98,1.02,1.24,1.05,1.19
f_1,1.26,1.0,0.92,0.95,1.04,0.83,0.81,0.97,1.02,0.89,1.0,0.78,0.85,0.74,0.99,0.94
d_1,1.05,1.09,1.0,0.94,0.95,0.85,1.01,1.09,0.81,1.24,1.01,1.02,0.98,1.12,0.93,0.81
c_1,0.77,1.06,1.07,1.0,1.42,0.99,1.01,0.62,1.11,0.83,0.97,1.02,0.99,0.88,0.89,0.91
b_1,1.04,0.95,1.04,0.71,1.0,1.53,1.02,1.0,1.08,1.0,1.17,1.11,1.3,0.99,1.04,1.07
a_1,0.94,1.2,1.17,1.01,0.66,1.0,1.18,1.07,0.99,1.26,1.16,1.03,1.07,1.13,1.06,1.25
h_1,0.96,1.22,0.97,0.99,0.97,0.84,1.0,0.99,1.2,0.92,0.95,0.79,1.04,0.95,0.98,1.1
d_0,0.73,0.99,0.99,1.6,0.97,0.97,1.06,1.0,1.05,0.93,0.95,1.05,0.95,0.91,1.05,1.17
g_1,0.96,0.96,1.29,0.88,0.94,0.98,0.83,0.92,1.0,1.0,0.97,1.23,0.87,1.05,1.02,0.94
c_0,1.16,1.05,0.81,1.17,1.0,0.79,1.11,1.02,0.98,1.0,1.39,1.0,1.01,1.1,1.09,0.98
b_0,1.12,0.94,0.93,1.07,0.87,0.89,1.05,1.07,1.07,0.75,1.0,1.03,1.09,1.07,1.51,1.02
f_0,0.96,1.24,0.98,1.0,0.95,0.94,1.25,0.91,0.82,1.07,1.04,1.0,1.01,1.33,0.85,0.88
h_0,0.95,1.17,1.05,1.03,0.76,0.94,0.96,1.02,1.14,0.97,0.97,1.02,1.0,1.0,0.89,1.28
e_0,0.84,1.4,0.91,1.14,0.94,0.9,1.05,0.98,0.94,1.02,0.98,0.79,1.01,1.0,0.86,1.04
a_0,0.99,1.02,1.0,1.05,1.02,0.92,1.03,0.96,1.03,0.89,0.66,1.21,1.09,1.25,1.0,1.0
g_0,0.87,1.01,1.25,1.06,0.99,0.82,0.91,0.83,1.08,1.01,1.06,1.23,0.81,0.95,0.96,1.0
