,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,12.12,0.68,0.56,0.97,0.64,0.64,0.88,0.87,2.23,0.86,0.98,0.9,1.15,1.08,0.58,0.77
f_1,1.45,13.22,0.65,0.63,0.54,0.56,0.85,0.69,0.86,0.86,0.98,0.51,0.87,0.81,0.7,0.79
d_1,0.52,0.67,15.3,0.47,0.59,0.66,1.02,1.08,0.56,2.57,1.36,1.07,0.97,0.97,1.1,1.21
c_1,0.57,0.63,0.63,14.52,1.63,0.62,0.93,0.85,0.75,0.39,0.57,0.91,0.89,0.86,0.92,0.81
b_1,0.56,0.65,0.68,0.59,15.34,1.57,0.88,0.89,0.81,0.67,0.52,1.03,0.58,1.08,0.86,1.07
a_1,0.68,0.68,0.62,0.64,0.6,22.62,1.03,1.04,0.76,0.96,1.01,0.96,0.75,1.06,1.26,1.19
h_1,0.68,1.21,0.9,0.78,0.62,0.51,3.72,1.67,0.93,1.02,0.96,1.11,1.07,0.61,1.18,1.65
g_1,0.57,0.5,1.62,0.85,0.64,0.6,1.02,4.64,1.05,1.0,1.03,1.93,0.99,1.31,1.24,0.73
d_0,0.72,0.67,0.51,2.09,0.76,0.72,1.08,1.07,2.12,0.72,0.92,1.07,0.99,1.15,1.2,0.96
c_0,0.84,0.77,0.88,0.55,0.63,0.66,1.06,1.09,1.14,2.65,3.86,1.55,1.76,1.49,1.21,1.31
b_0,0.77,0.8,0.75,0.95,0.49,0.56,1.1,1.11,1.24,1.06,3.16,1.29,3.35,1.29,1.25,1.14
f_0,0.5,0.54,0.9,0.81,0.66,1.01,1.02,1.22,1.53,1.42,1.16,3.55,1.59,1.46,3.84,1.48
a_0,0.79,0.98,0.87,0.69,0.77,0.53,1.22,1.02,1.04,1.13,1.24,1.31,2.68,1.29,1.42,1.14
h_0,0.65,1.36,0.92,0.8,0.63,0.7,0.67,1.16,0.92,0.99,1.16,0.9,0.9,0.74,1.36,1.51
e_0,0.5,0.95,0.83,0.78,0.73,0.77,1.38,1.19,0.87,1.03,1.09,1.17,1.07,1.26,3.42,1.43
g_0,0.49,0.78,1.95,0.68,0.63,0.61,0.97,0.92,0.75,1.42,1.09,2.16,1.0,1.06,1.32,0.94
