,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.47,1.96,2.41,2.5,1.75,0.8,0.8,0.83,0.61,0.68,0.82,0.52,0.48,1.11,0.5
f_1,2.43,1.06,2.23,2.18,1.97,1.65,0.61,0.66,0.9,0.59,0.52,0.92,0.65,0.38,0.53,0.51
d_1,2.89,2.37,1.06,2.3,1.9,2.27,0.95,1.1,0.62,0.75,0.76,0.54,0.64,0.52,0.55,0.37
c_1,2.08,2.66,2.87,1.06,2.62,1.83,1.05,0.45,0.8,0.88,0.63,0.6,0.59,0.59,0.6,0.55
b_1,2.58,3.15,3.08,1.73,1.07,2.75,1.09,0.88,1.11,1.03,1.16,0.82,0.74,0.69,0.7,0.49
a_1,3.84,4.72,3.76,3.47,2.15,1.07,1.56,1.1,1.62,1.2,1.27,1.06,1.5,0.89,0.79,0.95
h_1,6.25,6.94,5.57,5.56,5.6,4.26,1.33,1.8,1.99,1.54,1.46,1.4,1.4,1.78,1.3,1.34
d_0,4.34,7.67,10.45,8.78,7.34,7.45,2.99,1.54,2.77,1.87,1.97,1.8,2.15,1.78,1.91,1.77
g_1,6.91,6.95,7.47,8.56,6.81,5.55,2.66,2.02,1.34,2.16,1.74,2.19,2.13,1.25,1.78,2.2
c_0,8.23,7.94,4.82,13.08,7.3,6.21,3.36,2.86,2.46,1.54,2.8,2.06,2.27,1.64,1.74,2.05
b_0,7.28,9.7,7.18,10.15,12.39,6.19,3.41,2.19,2.9,1.42,1.58,2.21,3.03,2.06,1.84,1.71
f_0,7.31,16.41,8.91,9.46,8.4,7.19,3.68,2.72,2.15,2.54,2.48,1.58,2.54,1.93,2.95,1.38
a_0,11.34,9.65,8.53,10.93,12.57,12.85,3.87,3.24,3.27,2.6,1.6,2.58,1.57,2.27,2.57,2.08
h_0,10.76,11.23,9.7,9.79,9.77,8.46,4.93,2.94,3.54,2.88,2.73,2.61,2.72,3.0,2.2,2.43
e_0,14.71,14.67,8.86,12.07,9.13,10.53,4.41,3.92,3.64,3.45,3.66,1.75,2.93,2.75,1.65,2.46
g_0,11.52,13.9,11.75,10.04,12.91,10.86,3.63,3.71,4.67,3.25,3.34,3.03,3.69,2.01,2.86,3.32
