,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.95,0.42,0.42,0.34,0.34,0.33,0.82,1.56,0.97,0.73,0.87,0.76,0.71,0.84,0.22,0.81
f_1,0.68,4.1,0.42,0.46,0.31,0.31,0.59,0.69,0.77,0.76,0.78,0.24,0.96,0.96,0.52,0.87
c_1,0.38,0.32,4.14,0.4,0.79,0.34,0.66,0.77,0.12,0.68,0.54,0.83,0.96,0.89,0.81,0.98
d_1,0.43,0.37,0.37,4.16,0.5,0.35,0.64,0.16,1.39,0.83,0.99,0.89,0.91,0.62,0.78,0.77
b_1,0.3,0.51,0.38,0.36,4.89,0.76,0.75,0.73,1.02,0.74,0.15,0.75,0.83,0.66,0.62,0.76
a_1,0.35,0.43,0.37,0.44,0.26,6.44,1.06,0.84,0.64,0.68,0.9,0.94,0.82,0.16,1.12,0.81
h_1,0.59,0.94,0.63,0.71,0.64,0.65,5.04,1.22,1.27,1.61,1.34,1.52,0.67,1.16,2.09,2.21
d_0,0.74,0.77,1.21,0.22,0.58,0.66,1.25,3.8,1.14,1.01,1.5,1.81,1.72,1.26,1.6,1.8
c_0,0.85,0.79,0.42,0.65,0.48,0.81,1.43,1.52,3.69,1.25,2.69,1.34,1.84,1.83,1.95,1.72
g_1,0.66,0.51,0.62,1.19,0.55,0.72,1.28,1.44,1.32,6.34,1.39,2.2,1.45,1.34,1.43,0.6
b_0,0.7,0.74,0.85,0.77,0.17,0.55,1.3,1.54,1.59,1.12,4.71,1.37,1.65,3.16,1.87,1.49
f_0,0.65,0.3,0.91,0.75,0.75,0.79,1.45,1.59,1.29,1.27,1.66,4.53,1.63,1.25,3.17,1.32
h_0,0.62,0.99,0.72,0.75,0.61,0.61,0.53,1.12,1.16,1.33,1.66,1.12,0.63,1.38,1.34,1.86
a_0,0.64,0.72,0.78,0.84,0.64,0.3,1.56,1.36,0.97,1.58,1.52,1.42,2.11,6.41,1.46,1.69
e_0,0.15,0.88,0.73,0.79,0.78,0.72,1.86,1.58,1.65,1.43,1.56,1.72,1.82,1.61,6.48,1.73
g_0,0.52,0.7,0.65,1.04,0.74,0.58,1.43,1.0,1.17,0.58,1.64,2.54,1.3,1.72,1.88,0.82
