,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.46,1.08,1.18,1.49,1.21,0.95,2.32,4.62,2.64,2.67,2.59,2.97,3.34,4.24,2.09,3.18
d_1,1.11,2.51,1.26,1.06,1.19,1.17,2.29,2.0,4.21,2.18,3.21,2.87,3.48,2.85,3.55,3.1
f_1,1.8,1.1,2.51,1.35,0.99,1.33,1.98,2.31,2.36,2.19,2.34,1.53,3.35,3.13,2.27,2.73
c_1,1.09,1.15,1.2,2.52,2.18,1.05,2.56,1.99,1.66,2.25,2.04,2.8,3.1,2.95,2.61,2.43
b_1,1.23,1.3,1.42,0.89,2.73,2.29,2.23,2.46,2.41,2.4,1.71,2.46,3.36,3.24,2.32,2.26
a_1,1.45,1.27,1.31,1.31,0.75,3.28,2.72,2.85,2.68,2.74,3.13,3.16,3.2,3.44,2.56,2.15
h_1,1.34,1.4,1.7,1.34,1.31,1.25,4.11,2.63,2.65,3.08,2.8,2.86,2.94,4.08,2.9,3.21
d_0,1.09,0.85,1.5,2.35,1.45,1.25,2.96,4.02,2.01,2.7,3.05,2.7,3.54,3.33,2.79,3.36
c_0,1.37,1.32,1.45,1.21,1.26,1.33,2.57,3.32,4.03,2.4,4.93,3.4,3.63,3.91,3.52,3.51
g_1,1.07,1.96,1.2,1.45,1.36,1.08,2.49,2.7,2.99,4.55,3.23,4.34,2.88,3.05,3.36,2.92
b_0,1.34,1.42,1.59,1.54,1.12,1.15,3.08,2.73,2.68,2.37,4.4,3.17,4.04,4.09,2.85,5.41
f_0,1.24,1.58,0.96,1.43,1.44,1.29,2.91,3.24,3.05,2.28,3.16,4.43,3.84,4.05,5.06,3.25
h_0,1.43,1.38,1.65,1.34,1.13,1.24,2.18,3.07,2.76,3.46,2.73,3.07,2.78,4.49,2.6,2.54
g_0,1.09,2.02,1.21,1.51,1.27,1.28,2.71,2.66,2.87,2.44,2.64,4.1,3.25,2.86,2.97,2.94
e_0,0.91,1.41,1.46,1.47,1.41,1.49,3.09,2.84,3.22,2.42,3.54,2.95,4.64,4.21,5.26,3.17
a_0,1.24,1.39,1.31,1.57,1.49,1.14,2.75,3.01,2.95,2.95,2.86,3.22,4.49,3.82,3.24,5.09
