,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.23,0.96,0.9,0.72,0.58,0.39,0.43,0.45,0.38,0.36,0.33,0.31,0.32,0.3,0.26
e_1,0.84,1.0,1.14,0.91,0.98,0.73,0.49,0.45,0.58,0.4,0.39,0.44,0.39,0.34,0.34,0.33
c_1,1.04,0.86,1.0,1.04,1.14,0.76,0.53,0.47,0.32,0.35,0.33,0.39,0.36,0.32,0.33,0.31
d_1,1.16,1.1,0.96,1.0,0.89,0.74,0.48,0.4,0.45,0.53,0.42,0.39,0.39,0.35,0.28,0.32
b_1,1.39,1.03,0.89,1.12,1.0,1.1,0.6,0.52,0.47,0.51,0.48,0.43,0.43,0.36,0.39,0.29
a_1,1.64,1.36,1.32,1.27,0.93,1.0,0.73,0.65,0.69,0.55,0.54,0.58,0.59,0.52,0.47,0.39
h_1,2.48,2.03,1.91,2.08,1.64,1.37,1.0,0.95,0.87,0.82,0.82,0.72,0.8,0.64,0.72,0.59
g_1,2.27,2.23,2.06,2.43,1.9,1.62,1.04,1.0,0.91,0.89,0.91,0.97,0.76,0.8,0.7,0.74
d_0,2.16,1.72,3.05,2.12,2.21,1.48,1.16,1.12,1.0,0.73,0.87,0.93,0.89,0.84,0.76,0.78
c_0,2.65,2.56,2.81,1.96,1.85,1.72,1.17,1.11,1.31,1.0,1.24,0.97,1.02,1.05,0.85,0.86
b_0,2.78,2.6,2.95,2.43,2.08,1.87,1.23,1.07,1.11,0.79,1.0,0.93,0.94,1.17,0.8,0.78
f_0,2.95,2.44,2.51,2.57,2.2,1.8,1.36,1.03,1.12,1.05,1.08,1.0,1.03,0.91,0.7,1.12
h_0,3.13,2.61,2.71,2.56,2.33,1.7,1.26,1.35,1.15,1.02,1.05,0.95,1.0,0.91,0.91,0.77
a_0,3.1,2.95,3.14,2.99,2.75,1.81,1.5,1.26,1.16,0.94,0.86,1.13,1.05,1.0,0.9,1.0
g_0,3.39,3.04,3.1,3.53,2.6,2.0,1.38,1.38,1.23,1.17,1.24,1.41,1.11,1.08,1.0,1.12
e_0,3.82,3.02,3.33,3.05,3.34,2.59,1.72,1.37,1.38,1.08,1.37,0.92,1.26,0.98,0.92,1.0
