,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.66,0.73,0.9,1.03,0.92,0.82,0.42,0.43,0.45,0.31,0.34,0.38,0.37,0.28,0.3,0.38
f_1,0.98,0.66,0.86,0.94,0.91,0.8,0.34,0.35,0.47,0.33,0.31,0.34,0.31,0.23,0.27,0.25
d_1,1.11,1.08,0.64,0.88,0.84,0.83,0.4,0.43,0.3,0.4,0.36,0.33,0.32,0.29,0.21,0.3
c_1,0.84,1.0,1.2,0.63,1.13,0.88,0.49,0.24,0.43,0.36,0.32,0.35,0.3,0.28,0.26,0.33
b_1,1.08,1.24,1.17,0.72,0.59,1.29,0.52,0.38,0.51,0.49,0.47,0.44,0.37,0.39,0.35,0.35
a_1,1.27,1.28,1.25,1.19,0.71,0.56,0.63,0.48,0.58,0.49,0.65,0.5,0.57,0.33,0.39,0.41
h_1,1.5,1.66,1.48,1.45,1.37,1.19,0.54,0.58,0.67,0.54,0.51,0.59,0.51,0.46,0.47,0.53
d_0,1.22,1.63,1.97,2.03,1.84,1.58,0.87,0.56,0.79,0.53,0.6,0.62,0.6,0.46,0.52,0.61
g_1,1.69,1.7,1.97,1.71,1.5,1.33,0.72,0.65,0.51,0.68,0.64,0.76,0.59,0.39,0.59,0.58
c_0,2.02,1.87,1.27,2.19,1.63,1.42,0.85,0.9,0.74,0.54,0.78,0.7,0.68,0.57,0.59,0.56
b_0,1.81,2.01,1.62,2.15,2.02,1.34,0.86,0.77,0.73,0.43,0.54,0.67,0.78,0.55,0.5,0.62
f_0,1.79,2.35,1.77,1.88,1.65,1.45,0.81,0.73,0.55,0.62,0.61,0.53,0.61,0.55,0.42,0.74
a_0,1.89,2.09,1.86,2.42,2.25,1.98,0.96,0.79,0.78,0.6,0.46,0.69,0.51,0.55,0.53,0.69
h_0,2.0,2.22,1.88,2.14,1.81,1.76,1.06,0.83,1.03,0.68,0.72,0.7,0.72,0.69,0.63,0.64
g_0,2.04,2.24,2.19,2.3,1.95,1.52,0.84,0.79,0.93,0.67,0.72,0.77,0.8,0.49,0.67,0.69
e_0,2.37,2.8,2.23,1.98,1.98,1.88,0.9,0.8,0.76,0.74,0.68,0.48,0.65,0.6,0.53,0.52
