,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.47,1.45,1.16,0.96,1.14,1.27,2.56,1.96,4.1,2.08,3.08,2.78,3.23,3.02,2.96,2.81
f_1,1.06,2.46,1.91,1.29,1.04,1.06,2.25,2.66,2.63,2.25,2.63,1.81,3.15,2.33,1.89,2.9
e_1,1.11,1.12,2.53,1.44,1.3,1.2,2.2,4.44,2.56,2.54,2.56,2.86,3.66,2.84,1.98,3.8
c_1,1.41,1.11,1.09,2.59,1.98,0.93,2.3,2.18,1.62,2.3,2.02,2.57,3.2,2.75,2.95,3.46
b_1,1.27,1.26,1.09,1.11,2.76,2.22,2.44,2.85,2.24,2.29,2.09,2.64,3.01,2.03,2.79,2.83
a_1,1.29,1.57,1.19,1.39,0.8,3.2,2.43,2.37,2.44,2.51,2.81,2.99,3.56,2.09,2.68,3.52
h_1,1.37,1.73,1.37,1.37,1.3,1.32,4.03,2.6,2.74,3.04,2.63,2.97,2.85,2.7,3.14,4.35
d_0,0.87,1.23,1.04,2.21,1.49,1.56,2.76,3.97,2.42,2.71,3.23,3.09,3.9,3.14,3.01,4.34
c_0,1.32,1.43,1.36,1.18,1.21,1.33,3.03,3.17,3.99,2.91,4.59,3.29,3.75,3.71,2.98,3.95
g_1,1.93,1.17,1.09,1.42,1.45,1.2,2.44,2.46,2.79,4.46,2.95,4.37,3.4,2.38,3.25,3.11
b_0,1.41,1.51,1.37,1.62,0.9,1.04,2.99,2.73,2.83,2.72,4.42,3.09,4.24,5.35,3.68,3.96
f_0,1.58,1.04,1.19,1.42,1.56,1.06,2.54,2.62,3.21,2.68,3.17,4.5,3.98,3.14,5.89,3.18
h_0,1.37,1.73,1.21,1.34,1.37,1.38,2.08,2.72,2.89,3.43,3.1,2.94,2.86,3.15,3.01,4.85
a_0,1.44,1.49,1.35,1.5,1.34,0.87,3.06,2.91,2.89,3.02,2.84,2.92,4.13,5.03,3.34,3.73
e_0,1.47,1.62,1.13,1.36,1.58,1.18,2.45,2.97,3.4,2.63,2.85,2.69,4.3,3.27,5.07,4.44
g_0,2.01,1.31,0.98,1.33,1.45,1.35,2.28,2.24,2.94,2.17,2.89,4.3,3.22,3.01,3.39,3.32
