,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.88,0.17,0.08,0.09,0.06,0.03,0.08,0.06,0.08,0.07,0.06,0.01,0.07,0.03,0.04,0.03
e_1,0.11,0.88,0.07,0.09,0.05,0.04,0.08,0.06,0.07,0.16,0.08,0.07,0.08,0.05,0.05,0.01
d_1,0.1,0.08,0.88,0.06,0.06,0.05,0.08,0.07,0.16,0.02,0.07,0.08,0.09,0.05,0.06,0.04
c_1,0.09,0.09,0.08,0.87,0.13,0.04,0.07,0.06,0.02,0.08,0.06,0.07,0.08,0.05,0.05,0.04
b_1,0.09,0.11,0.1,0.08,0.87,0.09,0.06,0.06,0.05,0.06,0.02,0.06,0.07,0.04,0.06,0.04
a_1,0.07,0.1,0.12,0.07,0.07,0.87,0.08,0.04,0.06,0.07,0.08,0.07,0.1,0.02,0.08,0.05
h_1,0.22,0.13,0.14,0.13,0.11,0.08,0.53,0.15,0.13,0.14,0.14,0.12,0.06,0.07,0.14,0.07
g_1,0.18,0.12,0.22,0.14,0.1,0.08,0.13,0.52,0.11,0.09,0.14,0.14,0.11,0.09,0.03,0.09
c_0,0.18,0.16,0.16,0.06,0.1,0.09,0.19,0.12,0.39,0.09,0.26,0.15,0.13,0.07,0.14,0.1
d_0,0.15,0.16,0.04,0.3,0.1,0.09,0.14,0.09,0.12,0.37,0.11,0.13,0.11,0.07,0.11,0.08
b_0,0.2,0.16,0.16,0.15,0.04,0.05,0.18,0.12,0.14,0.15,0.4,0.11,0.14,0.21,0.15,0.08
f_0,0.07,0.13,0.18,0.14,0.13,0.09,0.16,0.14,0.16,0.16,0.15,0.39,0.15,0.1,0.11,0.2
h_0,0.27,0.14,0.17,0.13,0.09,0.07,0.06,0.11,0.14,0.13,0.14,0.12,0.04,0.1,0.17,0.08
a_0,0.22,0.12,0.16,0.15,0.11,,0.18,0.11,0.13,0.16,0.1,0.14,0.15,0.37,0.13,0.12
g_0,0.13,0.13,0.26,0.15,0.08,0.1,0.12,0.05,0.14,0.12,0.14,0.18,0.13,0.09,0.05,0.07
e_0,0.19,0.07,0.13,0.15,0.15,0.09,0.13,0.11,0.15,0.15,0.15,0.14,0.17,0.12,0.13,0.37
