,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.44,0.56,0.44,0.4,0.31,0.51,0.87,0.45,0.48,0.58,0.62,0.6,0.49,0.27,0.54
f_1,0.72,1.51,0.41,0.5,0.45,0.33,0.44,0.55,0.49,0.5,0.55,0.28,0.5,0.48,0.34,0.58
c_1,0.43,0.57,1.53,0.48,0.74,0.31,0.52,0.47,0.47,0.2,0.38,0.52,0.56,0.44,0.46,0.51
d_1,0.47,0.46,0.33,1.54,0.47,0.38,0.53,0.29,0.55,1.0,0.57,0.58,0.63,0.53,0.48,0.5
b_1,0.46,0.43,0.43,0.46,1.6,0.74,0.58,0.57,0.5,0.57,0.27,0.51,0.69,0.43,0.52,0.59
a_1,0.55,0.56,0.65,0.46,0.35,1.74,0.62,0.61,0.45,0.51,0.77,0.54,0.66,0.19,0.56,0.64
h_1,0.64,1.07,0.84,0.76,0.6,0.56,1.7,0.63,0.98,0.77,0.78,0.62,0.62,0.78,0.77,1.14
d_0,0.68,0.78,1.28,0.4,0.68,0.72,1.13,1.51,0.7,0.73,0.89,0.85,0.93,0.6,0.76,0.63
g_1,0.8,0.74,0.72,1.04,0.6,0.58,0.66,0.83,1.79,0.89,0.9,1.1,0.75,0.78,0.87,0.61
c_0,1.0,0.87,0.55,0.69,0.55,0.74,0.9,1.03,0.73,1.52,1.44,0.76,0.93,0.8,0.65,0.94
b_0,0.93,0.74,1.01,0.83,0.41,0.41,1.02,0.9,0.73,0.78,1.57,0.96,0.97,1.24,0.9,0.92
f_0,0.75,0.62,0.76,0.83,0.8,0.69,1.15,1.0,0.86,1.11,0.92,1.6,0.97,0.95,1.46,0.87
h_0,0.7,1.22,0.85,0.77,0.61,0.57,0.65,0.84,1.1,0.93,0.96,0.94,0.75,0.81,0.8,1.07
a_0,0.92,0.78,0.89,0.97,0.74,,0.76,1.17,0.78,0.95,0.81,0.73,1.08,1.66,1.07,0.86
e_0,0.49,1.08,0.94,0.71,0.65,0.74,1.18,1.08,0.74,1.11,0.95,0.73,1.18,0.77,1.68,1.0
g_0,0.72,0.81,0.99,1.15,0.61,0.6,0.72,1.02,0.64,0.83,1.06,1.17,1.21,0.93,0.9,0.71
