,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.11,5.27,4.44,4.94,4.25,3.8,1.05,0.71,0.8,1.81,0.84,0.72,0.63,0.43,0.79,0.69
e_1,4.44,1.12,2.44,5.26,4.52,4.02,1.85,1.69,0.92,1.06,1.05,0.96,0.69,0.69,1.03,2.05
f_1,4.4,4.42,1.13,4.48,4.23,4.48,0.98,1.32,0.83,0.84,0.9,1.72,0.45,0.68,0.84,0.92
c_1,6.47,4.02,4.81,1.12,4.91,4.79,1.61,1.66,2.07,0.55,0.93,0.87,0.67,0.83,0.82,1.05
b_1,5.53,5.61,7.08,2.97,1.13,5.76,1.49,1.61,1.7,1.42,2.53,1.39,0.9,0.98,1.13,1.02
a_1,8.98,7.65,8.98,9.57,4.02,1.14,2.84,2.46,1.85,2.02,2.62,2.12,1.61,1.15,7.16,1.87
h_1,14.09,13.9,14.92,15.56,17.55,15.03,1.72,4.86,3.1,2.95,3.08,3.16,3.48,2.44,3.35,2.92
g_1,17.95,19.39,20.4,18.53,19.91,17.81,3.75,1.77,3.85,4.46,3.84,3.62,2.0,4.25,3.73,3.58
c_0,10.11,17.25,22.83,45.15,22.83,17.65,5.02,6.5,2.19,5.56,3.97,3.68,3.23,2.58,4.37,3.95
d_0,27.54,10.55,20.16,20.29,21.44,19.84,5.83,9.39,4.14,2.26,3.75,3.79,2.83,2.89,4.77,4.41
b_0,15.76,18.3,20.16,40.58,35.1,20.69,6.18,6.63,2.22,4.9,2.2,4.13,2.87,2.93,5.34,3.91
f_0,21.1,22.42,35.54,31.43,27.0,21.86,7.02,5.54,5.6,5.81,5.8,2.34,4.35,2.15,5.11,4.91
h_0,24.71,30.14,31.62,25.24,28.95,24.67,12.74,9.14,5.24,5.86,5.58,5.32,6.55,4.35,4.84,5.29
g_0,28.41,34.83,41.53,35.23,34.67,39.27,7.02,16.1,6.8,6.98,6.8,7.14,3.46,7.52,6.88,7.02
a_0,32.5,34.83,37.88,33.75,56.16,50.63,9.52,8.24,5.84,7.54,3.23,6.58,6.27,4.51,2.49,6.88
e_0,37.98,50.52,44.19,29.15,36.0,35.63,9.1,8.24,7.32,7.54,7.49,3.91,4.88,4.69,8.14,2.55
