,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,12073.63,6378.72,4952.53,8688.26,10016.5,48817.38,4542122.42,23369005.01,12970937.23,11880923.88,24381621.82,61559831.51,218872525.92,131420054.67,326361374.49,182011712.24
f_1,7471.5,15638.94,5423.12,6408.46,9585.52,36656.19,5048134.36,14338179.98,13039268.17,12758230.81,25841480.97,39596513.06,197952764.29,126607613.46,308305717.93,243142401.26
d_1,4604.0,6273.89,15833.43,6474.42,9611.18,45792.91,5524838.49,7452936.05,24223909.25,10404310.9,31880453.97,64738919.28,193343044.09,155129960.06,378586646.63,319448072.96
c_1,4059.09,5482.35,4955.73,21774.2,19139.93,49267.78,4415825.11,13828407.34,8284385.02,10127093.03,17701920.08,56624845.98,207260062.07,115565982.7,328567176.17,347057830.08
b_1,4055.37,4796.8,5945.38,7608.87,35201.05,100380.72,5294883.76,12798003.38,11777417.88,10240700.3,17839823.24,61428267.41,190464689.11,125861295.67,339872418.92,342101851.17
a_1,3778.69,5643.52,5457.32,8313.18,11078.24,227619.95,6372802.82,13623845.78,14322165.78,11698427.37,27799463.0,74375149.42,224555669.81,136690747.5,313004357.61,368774137.12
h_1,4361.82,8064.62,7016.18,7464.18,10973.16,41637.51,11348983.5,14454418.18,15697108.34,18107200.5,28961662.73,64155998.0,130581888.95,163920529.42,457734173.36,377124677.96
d_0,4255.61,6237.63,4336.89,13567.52,12677.6,50742.29,5555536.4,23020302.64,9923324.79,14925893.21,25603094.39,66678769.78,236343641.61,127399658.26,371266947.3,391461561.99
c_0,4527.14,6346.98,7062.82,6205.31,10559.33,55069.88,6595990.41,14227161.85,24217812.89,14510576.33,55556225.23,77900532.47,205278011.43,234120382.09,406027886.71,421812977.35
g_1,4862.71,6288.96,8170.49,7338.35,9914.23,38361.11,5799133.77,14695170.43,15051140.73,30383210.66,29528172.94,105096782.37,183035917.19,150064479.23,293915268.96,442172158.63
b_0,5319.19,6822.24,6067.33,7717.36,8667.86,43451.5,5852698.93,13656792.68,16057525.05,15510006.08,50336805.94,75946547.92,268277556.34,355451746.75,371692823.67,391553996.83
f_0,4033.2,5568.59,6355.18,8448.01,12552.91,56805.14,7189233.63,14638403.37,15441503.44,13517724.39,32478672.48,138067343.9,224438762.45,203584181.17,438465146.86,809777615.38
h_0,4750.0,8720.76,6448.09,7363.79,11573.69,49365.63,4200817.77,14229092.26,14871492.78,17600248.34,25659168.65,67316416.43,181121965.78,170857289.31,495254745.48,304460829.62
a_0,5226.61,6323.49,6853.3,8812.42,12943.86,34493.77,6740608.38,13756842.45,15096818.42,16726477.15,31257532.72,66200850.82,237493890.74,394383248.8,448504079.52,353939434.63
g_0,4337.89,4780.87,10467.6,7954.35,11472.28,37858.21,5385958.27,12182966.4,16228280.19,10064236.25,29138377.96,105110590.91,209965894.66,147828098.58,267042614.87,345743653.98
e_0,3660.05,6710.21,7493.22,7466.57,11044.87,58997.76,6946124.84,11622874.42,17162968.08,16625715.24,28997952.04,78962460.61,269568949.83,177326928.5,465935252.45,808661216.34
