,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.34,1.07,0.48,0.48,0.5,0.41,1.01,0.99,0.9,1.24,1.06,0.46,1.33,0.77,0.77,1.22
e_1,0.7,2.35,0.49,0.73,0.44,0.42,1.13,1.08,0.8,2.04,1.11,1.1,1.46,0.91,0.56,1.39
d_1,0.59,0.54,2.38,0.36,0.55,0.49,1.02,2.43,1.02,0.72,1.43,1.25,1.73,1.19,1.12,1.38
c_1,0.53,0.48,0.53,2.52,1.08,0.32,0.93,0.37,0.88,0.93,0.84,0.98,1.49,1.07,0.93,1.43
b_1,0.58,0.5,0.68,0.42,2.53,0.91,1.11,1.09,0.88,1.12,0.47,1.07,1.43,0.68,0.83,1.34
a_1,0.63,0.56,0.6,0.62,0.46,2.97,1.35,1.14,0.76,1.42,1.05,1.18,1.57,0.6,0.8,1.39
h_1,1.01,0.68,0.69,0.68,0.53,0.6,3.01,1.37,1.37,1.25,1.42,1.1,1.14,1.49,1.01,2.05
c_0,0.84,0.71,0.81,0.48,0.5,0.5,1.27,2.76,1.49,1.46,2.86,1.56,2.03,1.61,1.22,1.58
g_1,0.52,0.65,1.23,0.61,0.65,0.48,1.07,1.57,3.37,1.07,1.21,2.17,1.78,1.11,0.95,1.1
d_0,0.75,0.76,0.47,1.29,0.58,0.46,1.46,1.11,1.05,2.61,1.43,1.08,1.97,1.25,1.13,1.31
b_0,0.85,0.72,0.76,0.76,0.34,0.4,1.4,1.65,1.2,1.36,2.97,1.41,1.98,2.84,1.3,1.47
f_0,0.48,0.51,0.78,0.77,0.73,0.51,1.37,1.85,1.3,1.48,1.64,2.93,2.2,1.82,2.87,1.67
h_0,1.03,0.66,0.8,0.73,0.55,0.37,0.82,1.52,1.52,1.39,1.28,1.29,1.09,1.13,1.31,1.93
a_0,0.82,0.69,0.79,0.88,0.61,0.21,1.47,1.45,1.41,1.46,1.57,1.52,1.97,3.03,1.51,1.54
e_0,0.69,0.4,0.75,0.86,0.72,0.51,1.4,1.7,1.47,1.52,1.77,1.51,2.04,1.39,3.21,1.97
g_0,0.54,0.64,1.14,0.69,0.53,0.53,1.29,1.42,1.04,1.47,1.71,2.4,1.58,1.23,1.4,1.03
