,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.91,1.83,1.99,1.93,2.07,0.46,0.35,0.34,0.56,0.3,0.34,0.3,0.28,0.95,0.27
f_1,1.56,0.17,1.57,1.62,1.56,1.38,0.34,0.37,0.33,0.58,0.33,1.52,0.18,0.36,0.35,0.3
c_1,1.48,1.8,0.16,2.36,1.72,1.32,0.49,0.16,0.97,0.53,0.31,0.29,0.23,0.39,0.35,0.24
d_1,2.34,1.49,1.71,0.16,1.74,1.52,0.43,1.91,0.29,0.29,0.32,0.43,0.2,0.34,0.32,0.12
b_1,1.63,2.06,0.87,1.61,0.13,2.12,0.52,0.39,0.52,0.57,1.56,0.29,0.21,0.42,0.32,0.26
a_1,1.93,1.7,1.78,2.24,0.74,0.1,0.48,0.4,0.32,0.55,0.52,0.33,0.38,1.03,0.36,0.31
h_1,1.01,0.97,0.96,0.82,0.91,0.93,0.06,0.2,0.21,0.24,0.2,0.14,0.36,0.14,0.18,0.14
d_0,0.51,1.05,1.06,1.99,1.1,0.92,0.3,0.08,0.15,0.25,0.2,0.18,0.12,0.19,0.15,0.17
c_0,0.79,1.11,3.46,0.48,1.29,0.77,0.27,0.23,0.07,0.31,0.21,0.16,0.14,0.17,0.17,0.19
g_1,0.92,1.18,1.07,0.77,1.06,0.96,0.24,0.2,0.19,0.05,0.22,0.18,0.1,0.17,0.15,0.34
b_0,0.71,1.03,1.39,0.66,5.17,0.92,0.33,0.17,0.09,0.29,0.06,0.18,0.12,0.16,0.15,0.16
f_0,0.74,3.53,0.93,0.79,1.15,0.94,0.26,0.17,0.16,0.13,0.19,0.06,0.15,0.16,0.14,0.1
h_0,0.86,1.05,0.89,0.81,0.92,0.93,1.11,0.17,0.18,0.33,0.18,0.2,0.4,0.16,0.21,0.11
a_0,1.0,0.93,0.85,0.71,1.38,,0.26,0.19,0.22,0.21,0.11,0.18,0.15,0.05,0.13,0.17
e_0,2.86,0.93,0.98,0.72,0.76,1.08,0.23,0.19,0.2,0.19,0.19,0.1,0.14,0.2,0.04,0.13
g_0,0.88,1.13,0.92,0.77,0.93,1.01,0.23,0.2,0.17,0.55,0.16,0.16,0.1,0.21,0.18,0.29
