,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.04,0.86,0.69,0.91,0.69,0.73,0.82,1.6,0.89,0.94,0.92,0.96,1.07,0.88,0.94,0.55
f_1,1.26,2.12,0.76,0.67,0.66,0.55,0.92,0.98,0.89,1.01,0.97,0.62,0.96,0.85,0.88,0.74
d_1,0.78,0.85,2.21,0.68,0.66,0.68,1.0,0.51,1.66,0.83,1.2,1.01,0.94,1.04,1.09,0.97
c_1,0.69,0.74,0.69,2.28,1.32,0.73,0.8,0.95,0.57,0.8,0.67,0.88,1.01,0.77,0.94,1.06
b_1,0.69,0.65,0.83,0.8,2.43,1.49,0.96,0.88,0.81,0.81,0.67,0.96,0.93,0.84,0.97,1.04
a_1,0.64,0.77,0.76,0.87,0.76,3.39,1.16,0.93,0.98,0.93,1.04,1.16,1.09,0.92,0.9,1.12
h_1,0.74,1.09,0.98,0.78,0.76,0.62,2.06,0.99,1.07,1.44,1.09,1.0,0.64,1.1,1.31,1.15
d_0,0.72,0.85,0.61,1.42,0.88,0.76,1.01,1.58,0.68,1.18,0.96,1.04,1.15,0.85,1.06,1.19
c_0,0.77,0.86,0.99,0.65,0.73,0.82,1.2,0.98,1.66,1.15,2.09,1.21,1.0,1.57,1.16,1.28
g_1,0.82,0.85,1.14,0.77,0.68,0.57,1.05,1.01,1.03,2.41,1.11,1.64,0.89,1.0,0.84,1.35
b_0,0.9,0.93,0.85,0.81,0.6,0.65,1.06,0.94,1.1,1.23,1.89,1.18,1.31,2.38,1.07,1.19
f_0,0.68,0.76,0.89,0.89,0.87,0.85,1.31,1.0,1.06,1.07,1.22,2.15,1.09,1.36,1.26,2.46
h_0,0.8,1.18,0.9,0.77,0.8,0.73,0.76,0.98,1.02,1.4,0.96,1.05,0.88,1.14,1.42,0.93
a_0,0.88,0.86,0.96,0.92,0.89,0.51,1.22,0.94,1.03,1.33,1.17,1.03,1.16,2.64,1.29,1.08
g_0,0.73,0.65,1.46,0.83,0.79,0.56,0.98,0.84,1.11,0.8,1.1,1.64,1.02,0.99,0.77,1.05
e_0,0.62,0.91,1.05,0.78,0.76,0.88,1.26,0.8,1.17,1.32,1.09,1.23,1.31,1.19,1.34,2.46
