,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.19,0.1,0.08,0.08,0.06,0.06,0.08,0.07,0.06,0.05,,0.06,0.05,0.04,0.04
e_1,0.08,0.93,0.11,0.09,0.1,0.07,0.07,0.05,0.12,0.07,0.05,0.06,0.05,0.04,0.04,
c_1,0.12,0.11,0.93,0.08,0.17,0.07,0.08,0.06,0.06,,0.05,0.06,0.07,0.03,0.04,0.04
d_1,0.14,0.1,0.11,0.93,0.09,0.07,0.08,0.06,,0.11,0.04,0.04,0.07,0.05,0.05,0.03
b_1,0.11,0.1,0.09,0.1,0.93,0.13,0.08,0.06,0.08,0.07,,0.05,0.08,0.04,0.06,0.04
a_1,0.17,0.14,0.12,0.09,0.08,0.93,0.09,0.07,0.09,0.08,,,0.1,,,
h_1,0.47,0.31,0.25,0.29,0.25,0.16,0.71,0.18,0.19,0.18,0.14,0.15,,0.11,0.17,0.1
g_1,0.23,0.35,0.33,0.41,0.21,0.19,0.17,0.71,0.19,0.17,0.17,0.23,0.18,0.15,,0.1
d_0,0.38,0.24,0.52,,0.28,0.19,0.26,0.19,0.57,0.21,0.17,0.21,0.29,0.18,0.21,0.11
c_0,0.42,0.37,,0.31,0.26,0.16,0.21,0.2,0.24,0.57,0.35,0.21,0.22,0.17,0.23,0.17
b_0,0.41,0.41,0.3,0.48,,,0.28,0.26,0.24,0.19,0.57,0.18,0.2,0.21,0.16,0.19
f_0,,0.33,0.37,0.4,0.26,,0.25,0.19,0.27,0.23,0.2,0.59,0.35,0.16,0.18,0.21
h_0,0.66,0.47,0.53,0.45,0.37,0.2,,0.35,0.24,0.29,0.34,0.17,,0.27,0.25,0.17
a_0,0.36,0.38,0.51,0.45,0.28,,0.33,0.18,0.23,0.2,0.22,0.24,0.19,0.59,0.22,
g_0,0.55,0.49,0.43,0.66,0.4,,0.32,,0.21,0.23,0.37,0.39,0.3,0.23,,0.22
e_0,0.36,,0.43,0.51,0.43,,0.24,0.28,0.4,0.2,0.23,0.24,0.27,,0.23,0.57
