,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.89,0.75,1.1,1.08,0.78,0.72,0.75,0.89,0.62,0.63,0.76,0.68,0.7,0.62,0.63
d_1,1.09,1.0,1.06,0.84,0.88,0.85,0.67,0.58,0.62,0.79,0.67,0.6,0.58,0.55,0.58,0.46
f_1,1.32,0.94,1.0,1.01,0.84,0.7,0.62,0.7,0.7,0.61,0.59,0.54,0.44,0.45,0.56,0.59
c_1,0.92,1.19,0.99,1.0,1.36,0.87,0.7,0.72,0.49,0.56,0.53,0.61,0.64,0.52,0.49,0.49
b_1,0.93,1.13,1.22,0.77,1.0,1.42,0.76,0.72,0.65,0.81,0.74,0.66,0.66,0.65,0.47,0.61
a_1,1.25,1.18,1.41,1.13,0.72,1.0,0.9,0.83,0.77,0.8,0.91,0.71,0.72,0.65,0.8,0.71
h_1,1.4,1.48,1.63,1.46,1.34,1.16,1.0,1.12,0.89,0.85,0.85,0.93,0.87,0.89,0.78,0.91
g_1,1.34,1.7,1.37,1.41,1.35,1.22,0.91,1.0,0.92,0.93,0.93,1.09,0.75,0.86,0.77,0.78
d_0,1.16,1.64,1.39,2.01,1.47,1.36,1.16,1.11,1.0,0.89,0.8,0.92,0.91,0.89,0.78,0.87
c_0,1.6,1.26,1.64,1.77,1.23,1.22,1.17,1.09,1.2,1.0,1.32,1.02,0.99,0.94,1.08,0.81
b_0,1.58,1.43,1.65,1.76,1.37,1.11,1.21,1.09,1.18,0.78,1.0,1.09,0.97,0.91,1.19,0.96
f_0,1.29,1.63,1.78,1.64,1.44,1.47,1.08,0.91,1.1,0.96,1.01,1.0,1.04,1.41,0.81,0.78
h_0,1.51,1.71,2.21,1.62,1.52,1.38,1.11,1.36,1.1,0.99,1.1,0.98,1.0,0.95,0.87,0.97
e_0,1.45,1.84,2.3,1.85,1.64,1.48,1.18,1.19,1.13,1.06,1.07,0.76,1.05,1.0,0.97,0.91
a_0,1.62,1.66,1.79,2.07,2.12,1.27,1.33,1.29,1.33,0.91,0.84,1.21,1.13,1.03,1.0,0.99
g_0,1.67,2.1,1.76,2.0,1.57,1.43,1.14,1.3,1.18,1.24,1.1,1.29,1.04,1.11,0.93,1.01
