,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.57,0.58,0.49,0.69,0.52,0.59,0.91,0.73,2.18,0.77,1.0,1.08,1.1,1.06,0.5,0.93
f_1,1.19,16.01,0.52,0.54,0.5,0.39,0.68,0.74,0.75,0.81,1.03,0.4,0.9,0.97,0.73,0.97
d_1,0.52,0.7,18.74,0.37,0.49,0.61,1.15,1.01,0.43,2.01,1.1,0.92,1.01,0.98,0.96,1.0
c_1,0.47,0.47,0.55,18.98,1.39,0.53,0.7,0.74,0.87,0.36,0.59,0.81,0.87,0.81,1.03,0.89
b_1,0.49,0.53,0.53,0.61,19.59,1.27,0.88,0.92,0.78,0.85,0.28,0.83,0.96,0.74,1.0,0.84
a_1,0.46,0.58,0.64,0.57,0.52,28.15,1.02,1.02,0.85,1.03,1.02,1.38,0.92,0.43,1.04,0.88
h_1,0.6,1.21,0.79,0.8,0.6,0.66,5.0,1.61,0.91,1.15,1.16,1.05,0.69,0.95,1.3,1.83
g_1,0.6,0.55,1.61,0.71,0.62,0.83,0.85,6.27,0.72,1.24,1.44,2.07,0.99,0.97,1.18,0.71
d_0,0.62,0.76,0.43,2.02,0.75,0.68,1.04,0.84,3.09,0.86,1.2,1.32,1.25,1.12,1.38,1.16
c_0,0.85,0.77,0.84,0.56,0.4,0.67,1.53,1.27,1.26,3.22,3.86,1.65,1.21,1.51,1.28,1.32
b_0,0.73,0.94,0.76,0.88,0.38,0.47,1.11,1.19,1.24,1.12,4.09,1.34,1.59,3.53,1.31,1.41
f_0,0.59,0.31,0.87,0.99,0.74,0.73,1.3,1.27,1.15,1.15,1.62,3.99,1.32,0.98,3.38,1.38
h_0,0.69,1.38,0.81,0.67,0.62,0.86,0.68,1.6,1.04,1.1,1.01,1.31,0.83,1.11,1.08,1.64
a_0,0.72,0.83,0.92,1.17,0.6,0.3,1.4,1.1,1.12,1.34,1.09,0.81,1.39,4.99,1.08,1.19
e_0,0.32,0.64,1.14,0.89,0.96,0.66,1.8,1.91,1.04,1.21,1.2,1.36,1.4,1.34,5.1,1.54
g_0,0.68,0.72,1.91,0.5,0.77,0.64,1.11,0.8,0.84,1.18,1.13,1.88,1.2,1.16,1.23,0.81
