,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.74,1.19,0.82,0.96,0.72,0.67,0.67,0.78,0.72,0.71,0.64,0.53,,0.5
d_1,1.15,1.0,0.95,0.93,1.08,0.99,0.73,0.49,0.86,,0.61,0.54,0.77,0.49,0.65,0.39
f_1,1.36,1.05,1.0,0.8,0.98,0.8,0.69,0.74,0.65,0.68,,0.59,0.47,0.61,0.48,0.63
c_1,0.84,1.08,1.25,1.0,1.69,0.87,0.65,0.69,,0.46,0.73,0.44,0.64,0.65,0.63,0.6
b_1,1.22,0.93,1.02,0.59,1.0,1.28,0.82,0.62,0.64,0.65,0.64,,0.7,0.71,,0.65
a_1,1.04,1.01,1.25,1.15,0.78,1.0,0.74,0.91,0.73,0.87,,0.89,0.71,,0.59,0.75
h_1,1.39,1.37,1.46,1.55,1.22,1.34,1.0,0.96,0.88,0.78,0.89,0.97,,0.69,0.59,1.08
g_1,1.49,2.03,1.36,1.45,1.61,1.1,1.04,1.0,0.93,1.18,1.0,1.0,0.52,0.86,0.75,
c_0,1.48,1.16,1.54,,1.55,1.38,1.14,1.08,1.0,1.28,0.91,1.2,0.64,1.03,0.98,0.94
d_0,1.28,,1.47,2.17,1.54,1.15,1.28,0.85,0.78,1.0,1.08,1.11,0.91,0.86,0.66,0.79
f_0,1.38,1.63,,1.37,1.55,,1.13,1.0,1.1,0.92,1.0,1.01,1.11,,1.51,0.74
b_0,1.41,1.86,1.69,2.25,,1.13,1.03,1.0,0.84,0.9,0.99,1.0,1.35,1.58,0.77,0.67
h_0,1.55,1.29,2.11,1.56,1.44,1.4,,1.92,1.57,1.1,0.9,0.74,,0.85,0.92,1.18
a_0,1.9,2.05,1.64,1.55,1.41,,1.44,1.16,0.97,1.16,,0.63,1.17,1.0,,1.17
e_0,,1.54,2.1,1.57,,1.68,1.7,1.34,1.02,1.51,0.66,1.29,1.08,,1.0,0.98
g_0,2.02,2.58,1.59,1.66,1.53,1.33,0.93,,1.07,1.26,1.34,1.49,0.85,0.85,1.03,
