,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.41,0.97,0.83,0.98,0.92,0.88,1.03,1.1,1.03,0.82,0.83,0.78,0.76,0.86,1.1
e_1,0.71,1.0,1.19,0.98,0.95,1.14,1.1,1.34,0.85,1.02,1.13,1.14,1.15,1.22,1.1,1.11
c_1,1.04,0.84,1.0,1.1,1.35,1.05,1.15,0.69,0.91,0.93,0.84,0.89,1.03,1.06,0.87,0.97
d_1,1.21,1.02,0.91,1.0,0.98,0.88,0.9,0.87,1.27,0.78,1.04,0.96,1.2,0.84,1.02,0.79
b_1,1.02,1.06,0.74,1.02,1.0,1.42,1.01,1.02,0.99,1.02,0.89,1.02,1.06,0.99,0.9,0.94
a_1,1.08,0.88,0.95,1.14,0.7,1.0,1.21,1.2,1.09,1.31,1.36,1.1,0.97,1.03,,1.06
h_1,1.17,0.89,0.89,1.12,1.02,0.82,1.0,1.03,0.81,1.3,0.94,0.92,1.24,1.05,1.02,1.3
d_0,0.95,0.73,1.43,1.11,1.04,0.8,0.95,1.0,1.05,1.07,1.09,1.04,1.03,1.04,0.91,1.07
c_0,0.95,1.16,1.22,0.77,1.02,0.9,1.22,0.92,1.0,1.05,1.45,1.14,0.97,0.94,1.03,1.06
g_1,0.98,0.98,1.12,1.28,0.98,0.73,0.76,0.96,0.95,1.0,0.99,1.29,0.85,1.14,1.01,0.62
b_0,1.21,0.86,1.32,0.91,1.2,0.67,1.01,0.95,0.73,1.05,1.0,0.93,0.99,1.22,1.45,0.96
f_0,1.13,0.92,1.07,1.03,0.97,0.84,1.1,0.98,0.89,0.77,1.04,1.0,1.01,1.5,1.04,0.79
h_0,1.31,0.84,1.01,0.9,0.91,1.04,0.83,1.03,1.06,1.15,1.03,1.01,1.0,0.95,1.03,1.32
e_0,1.4,0.73,0.91,1.19,0.92,0.98,0.98,0.93,1.1,0.89,0.82,0.72,1.01,1.0,1.18,1.17
a_0,1.18,0.87,1.17,1.05,1.13,,0.99,1.12,1.02,1.0,0.66,0.93,0.97,1.05,1.0,1.14
g_0,0.91,0.87,1.04,1.26,1.0,0.95,0.77,0.99,0.93,,0.98,1.2,0.76,0.89,0.9,
