,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.01,0.87,0.92,1.01,1.05,1.32,1.31,0.75,1.14,0.98,0.96,1.01,0.99,0.73
f_1,0.88,1.0,1.28,1.14,1.01,0.82,0.89,1.0,1.09,0.95,0.97,0.95,0.99,0.8,0.73,1.02
e_1,0.99,0.78,1.0,1.01,1.03,0.94,1.05,1.43,0.93,1.25,1.05,1.05,1.13,1.01,0.85,1.12
c_1,1.15,0.88,0.99,1.0,1.35,0.77,0.99,0.73,0.78,1.08,0.8,0.98,1.05,1.05,1.07,1.22
b_1,1.09,0.99,0.97,0.74,1.0,1.72,1.12,1.11,0.88,0.95,1.02,1.02,0.95,0.97,1.06,0.86
a_1,0.99,1.22,1.06,1.29,0.58,1.0,0.87,0.83,0.97,1.0,1.11,1.32,0.99,1.13,1.03,1.14
h_1,0.95,1.15,0.94,1.0,0.91,1.07,1.0,0.99,0.87,1.17,0.88,0.94,0.95,0.89,1.06,1.17
d_0,0.73,0.98,0.64,1.45,0.91,1.25,1.04,1.0,0.96,1.01,1.2,1.0,1.09,1.1,0.98,1.14
c_0,0.76,0.93,1.06,1.29,1.12,1.01,1.15,1.07,1.0,1.08,1.28,0.99,1.05,1.1,0.89,1.28
g_1,1.32,1.01,0.79,0.92,1.05,0.98,0.87,0.99,0.96,1.0,0.94,1.14,0.8,0.73,0.89,1.13
b_0,0.85,1.08,0.92,1.3,1.08,0.83,1.14,0.85,0.78,1.09,1.0,1.01,1.01,1.33,1.3,0.98
f_0,1.09,1.14,0.93,1.02,0.98,0.8,1.04,1.13,0.97,0.89,0.97,1.0,1.11,1.13,1.49,0.79
h_0,1.05,1.07,0.83,0.96,1.06,0.99,0.98,0.94,0.97,1.2,1.01,0.94,1.0,1.09,0.84,1.27
a_0,0.99,1.23,1.01,0.98,1.08,0.91,1.12,0.81,0.87,1.36,0.75,0.86,0.89,1.0,0.91,0.9
e_0,1.0,1.36,1.36,1.0,0.96,0.94,0.88,1.0,1.16,1.12,0.83,0.67,1.13,0.99,1.0,0.95
g_0,1.33,1.01,0.84,0.82,1.15,0.86,0.88,0.86,0.88,0.92,0.94,1.22,0.78,1.02,1.05,1.0
