,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.3,1.0,0.53,0.57,0.47,0.34,0.94,0.76,1.09,1.13,1.16,0.54,1.49,0.94,0.6,1.22
e_1,0.66,2.32,0.71,0.46,0.51,0.37,1.03,0.96,2.23,1.22,1.26,1.03,1.37,1.01,0.45,1.41
c_1,0.56,0.46,2.4,0.64,0.94,0.41,0.95,0.91,1.19,0.38,0.9,1.03,1.57,0.87,1.03,1.25
d_1,0.65,0.54,0.45,2.42,0.56,0.42,1.11,0.95,0.52,2.24,1.45,1.15,1.51,1.04,0.99,1.23
b_1,0.59,0.52,0.6,0.53,2.56,0.86,1.09,0.93,1.24,1.17,0.4,1.13,1.26,0.88,1.07,1.34
a_1,0.6,0.68,0.51,0.73,0.45,3.09,1.14,0.92,1.0,1.21,1.1,1.11,1.29,0.42,0.91,0.9
h_1,0.93,0.67,0.69,0.75,0.62,0.41,3.07,1.47,1.35,1.38,1.27,1.23,1.1,1.16,1.16,2.53
g_1,0.64,0.45,0.73,1.15,0.62,0.51,1.22,3.38,1.24,1.44,1.46,2.27,1.69,1.37,1.63,1.15
d_0,0.66,0.69,1.37,0.37,0.61,0.52,1.27,0.98,2.53,1.03,1.54,1.32,1.85,1.01,1.25,1.88
c_0,0.92,0.67,0.45,0.78,0.49,0.64,1.48,0.94,1.47,2.59,2.71,1.35,1.89,1.47,1.4,1.5
b_0,0.84,0.79,0.76,0.73,0.35,0.45,1.23,1.22,1.39,1.5,2.88,1.23,2.17,2.55,1.26,1.9
f_0,0.5,0.52,0.88,0.7,0.64,0.65,1.64,1.32,1.74,1.63,1.19,3.04,2.08,0.87,2.96,2.0
h_0,1.06,0.72,0.74,0.73,0.61,0.47,0.67,1.58,1.3,1.24,1.32,1.35,1.28,1.26,0.95,2.38
a_0,0.84,0.79,0.77,0.71,0.69,0.42,1.35,0.86,1.04,1.27,1.37,1.19,2.0,3.11,0.7,1.68
e_0,0.85,0.38,0.74,0.65,0.68,0.66,1.44,1.46,1.73,1.35,1.38,1.65,2.4,1.24,3.37,1.75
g_0,0.65,0.63,0.76,1.1,0.57,0.51,1.14,0.98,1.31,1.43,1.13,2.18,1.95,1.21,1.34,1.04
