,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.12,3.04,4.62,4.89,6.26,5.99,1.4,1.66,1.18,1.12,0.98,1.01,1.04,0.79,3.62,0.82
f_1,4.89,1.13,5.46,4.95,5.37,4.3,1.02,1.75,0.98,0.97,2.45,1.02,0.99,0.47,0.88,0.71
c_1,4.89,5.41,1.13,7.35,5.27,5.0,1.63,1.56,0.63,1.92,1.15,1.1,1.29,0.93,1.14,0.71
d_1,6.62,5.94,6.96,1.12,5.48,5.76,1.81,0.94,3.27,1.08,1.28,1.04,1.18,0.74,0.95,0.54
b_1,5.49,6.76,3.6,6.95,1.13,5.81,2.08,2.16,1.4,1.54,1.28,4.53,1.37,1.07,1.16,1.25
a_1,10.8,12.21,11.18,9.72,5.41,1.15,3.21,3.18,2.33,2.39,1.96,3.1,4.77,1.95,2.15,1.67
h_1,16.73,17.58,15.78,18.27,18.21,14.0,1.78,5.14,3.57,3.29,3.14,3.48,3.35,4.68,3.05,2.41
g_1,21.53,23.7,23.06,18.27,23.94,22.47,4.46,1.83,5.47,3.65,4.34,3.3,3.64,2.73,4.18,5.75
d_0,11.15,23.4,22.43,49.38,19.75,20.0,6.33,8.45,2.41,4.54,4.53,5.75,5.06,2.83,5.09,4.51
c_0,33.46,34.31,47.1,13.92,28.42,23.95,9.4,7.1,8.14,2.45,5.11,4.83,4.94,3.97,4.56,5.02
f_0,23.27,54.59,31.7,27.24,26.22,26.0,9.01,5.0,5.93,5.0,2.41,5.89,4.41,4.57,5.95,2.63
b_0,31.22,28.6,33.64,23.24,46.08,30.33,7.67,7.47,7.14,2.55,5.32,2.28,5.68,4.14,5.32,4.21
a_0,39.44,33.36,38.79,26.55,46.78,75.83,10.66,10.6,8.97,6.07,5.43,3.97,2.49,3.97,8.16,4.65
h_0,35.02,35.32,34.71,31.29,40.01,37.92,16.81,11.09,8.97,7.5,7.24,8.13,7.16,9.36,7.47,5.45
e_0,66.91,67.98,37.04,37.18,37.09,34.34,11.35,10.6,11.29,8.06,4.07,9.31,7.83,7.42,2.68,4.86
g_0,45.14,48.04,48.49,41.04,36.2,50.56,9.71,26.3,9.72,9.15,10.22,10.04,9.88,5.1,10.32,9.58
