,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.07,3.7,3.13,3.19,2.8,2.9,1.19,0.8,1.79,1.11,0.94,0.88,0.76,1.0,0.5,0.74
f_1,3.22,1.07,3.83,3.64,3.2,2.71,0.95,1.36,0.95,0.96,0.84,1.77,0.52,0.74,0.85,0.65
e_1,4.19,2.14,1.07,3.4,3.17,3.01,1.41,1.28,1.2,1.17,1.12,1.05,0.75,0.81,0.64,1.34
c_1,4.49,3.59,3.7,1.07,4.09,3.41,1.46,1.25,0.76,1.68,0.92,1.26,1.13,0.81,0.84,1.02
b_1,4.08,4.56,3.99,2.53,1.07,4.38,1.46,1.39,1.2,1.16,2.63,1.14,0.87,1.54,0.98,1.05
a_1,4.52,6.37,5.08,5.4,3.24,1.07,2.49,3.05,1.76,1.52,1.88,1.52,1.26,3.28,1.39,1.65
h_1,8.06,8.06,6.82,6.27,8.04,5.66,1.38,3.43,2.02,1.94,2.05,1.8,3.08,2.08,1.86,1.8
g_1,10.11,7.91,9.49,7.62,8.11,5.57,2.14,1.38,2.84,2.6,2.52,2.72,1.73,2.51,2.01,2.3
d_0,11.84,9.25,5.5,9.66,8.46,7.35,3.53,3.42,1.61,2.23,2.8,2.03,2.21,1.75,1.92,2.29
c_0,5.2,10.05,8.51,21.0,9.77,7.62,4.09,3.04,3.33,1.65,2.93,2.35,2.19,2.28,1.92,2.37
b_0,8.29,11.15,8.48,12.15,13.78,6.65,3.75,3.29,2.6,1.59,1.59,2.38,2.16,2.55,1.86,1.78
f_0,9.33,16.43,11.01,9.37,9.09,8.07,4.38,2.95,3.34,3.19,3.4,1.63,2.23,2.81,1.72,3.68
h_0,10.69,13.66,12.66,10.7,12.05,11.37,6.38,4.5,3.51,3.01,3.12,3.41,4.41,2.84,3.01,2.2
a_0,10.71,14.46,12.56,13.03,10.47,,4.31,5.17,4.68,3.43,2.62,2.84,2.87,1.71,3.13,3.62
g_0,15.3,12.1,15.12,15.82,11.73,10.29,4.41,,4.2,4.79,3.79,4.21,2.69,3.51,4.67,3.74
e_0,13.69,21.75,27.68,13.78,13.31,10.7,5.1,4.87,3.47,3.39,5.99,1.82,4.06,4.29,2.86,1.68
