,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,35.27,0.12,0.07,0.07,0.07,0.07,0.32,0.27,0.36,0.31,,0.44,0.75,0.21,0.25,0.45
e_1,0.07,36.93,0.06,0.07,0.05,0.06,0.3,0.31,0.36,0.7,0.36,0.44,0.59,,0.31,0.56
d_1,0.07,0.06,37.75,0.07,0.1,0.07,0.25,0.22,0.89,,0.35,0.34,0.45,0.44,0.27,0.42
c_1,0.07,0.06,0.06,46.02,0.14,0.08,0.29,0.29,,0.41,0.33,0.37,0.53,0.38,0.32,0.55
b_1,0.07,0.06,0.07,0.07,47.53,0.13,0.27,0.31,0.28,0.5,0.49,,0.42,0.33,0.37,0.56
a_1,0.06,0.05,0.07,0.06,0.07,80.9,0.34,0.2,0.42,0.53,0.27,0.36,0.62,,,0.62
h_1,0.34,0.24,0.26,0.26,0.26,0.27,27.04,1.27,1.15,1.6,1.86,1.11,,1.06,2.03,2.93
g_1,0.26,0.23,0.42,0.22,0.22,0.29,1.28,32.8,0.97,0.95,2.45,1.77,1.68,1.37,1.25,
c_0,0.41,0.34,0.29,,0.38,0.25,1.46,1.5,16.66,2.03,1.83,3.69,3.22,2.04,1.94,3.46
d_0,0.4,0.35,,0.78,0.33,0.32,1.51,1.48,1.58,18.22,1.58,1.87,3.45,2.77,1.59,3.02
f_0,,0.34,0.39,0.4,0.34,0.26,1.01,0.92,2.24,2.1,20.63,2.39,4.02,3.55,1.75,3.26
b_0,0.29,0.41,0.32,0.26,,,2.04,1.59,1.51,3.0,2.16,17.51,3.9,2.43,4.09,2.45
h_0,0.76,0.65,0.58,0.52,0.38,0.54,,3.17,3.51,3.3,2.95,2.84,,,2.21,6.01
e_0,0.3,,0.24,0.26,0.25,0.45,2.12,1.46,2.77,1.21,,1.9,4.04,33.62,3.12,3.26
a_0,0.38,0.27,0.46,0.35,0.36,,1.27,1.83,2.17,1.16,1.88,1.76,2.72,2.27,29.59,3.22
g_0,0.32,0.6,0.72,0.57,0.53,0.65,2.26,,3.07,1.75,5.16,3.2,4.42,2.28,3.24,
