,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.16,0.44,0.91,0.84,0.84,0.76,0.28,0.28,0.17,0.17,0.18,0.18,0.18,0.11,0.4,0.15
f_1,0.65,0.16,0.71,1.03,0.68,0.87,0.17,0.27,0.14,0.13,0.14,0.36,0.16,0.08,0.17,0.13
d_1,0.96,0.88,0.16,0.74,0.75,0.68,0.21,0.15,0.14,0.48,0.15,0.15,0.16,0.11,0.13,0.07
c_1,0.62,0.8,0.98,0.15,0.91,0.66,0.19,0.17,0.31,0.09,0.16,0.15,0.13,0.12,0.18,0.1
b_1,0.96,0.97,0.72,0.39,0.14,0.85,0.25,0.25,0.2,0.19,0.52,0.16,0.2,0.14,0.13,0.12
a_1,0.89,0.77,0.78,0.8,0.42,0.09,0.25,0.34,0.2,0.17,0.22,0.17,0.4,0.14,0.13,0.12
h_1,0.56,0.65,0.54,0.64,0.69,0.55,0.07,0.16,0.13,0.13,0.14,0.12,0.13,0.16,0.12,0.1
g_1,0.55,0.72,0.58,0.77,0.71,0.59,0.13,0.05,0.12,0.15,0.14,0.14,0.14,0.06,0.12,0.12
c_0,0.71,0.6,0.32,1.69,0.61,0.78,0.19,0.2,0.06,0.2,0.11,0.13,0.15,0.08,0.1,0.08
d_0,0.32,0.57,1.39,0.64,0.68,0.62,0.21,0.23,0.15,0.06,0.16,0.14,0.12,0.08,0.11,0.1
b_0,0.59,0.66,0.49,1.1,0.94,0.46,0.16,0.19,0.06,0.15,0.05,0.12,0.13,0.1,0.1,0.09
f_0,0.67,1.21,0.6,0.59,0.66,0.61,0.21,0.09,0.11,0.12,0.12,0.05,0.13,0.11,0.11,0.05
a_0,0.54,0.52,0.6,0.74,0.73,1.04,0.18,0.18,0.1,0.17,0.06,0.16,0.04,0.08,0.11,0.12
h_0,0.56,0.62,0.6,0.65,0.61,0.55,0.31,0.18,0.11,0.14,0.1,0.12,0.11,0.17,0.1,0.08
e_0,1.09,0.85,0.56,0.58,0.51,0.63,0.2,0.16,0.12,0.15,0.13,0.06,0.13,0.09,0.04,0.06
g_0,0.65,0.7,0.57,0.62,0.59,0.55,0.13,0.28,0.11,0.14,0.12,0.11,0.1,0.07,0.1,0.12
