,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.15,0.88,1.46,1.64,4.3,20.32,20.95,,40.44,31.47,45.93,79.66,94.75,91.85,106.78
f_1,0.87,1.0,1.34,1.81,1.58,3.12,16.22,24.43,25.63,30.49,32.74,,60.29,73.1,117.05,87.7
e_1,1.14,0.74,1.0,1.39,1.54,3.49,17.89,25.1,35.7,34.23,36.75,51.33,61.78,63.87,84.25,
c_1,0.68,0.55,0.72,1.0,1.53,2.19,13.39,17.97,15.26,,17.92,38.2,54.18,44.41,76.99,99.5
b_1,0.61,0.63,0.65,0.65,1.0,,10.19,13.02,15.31,15.32,,27.77,37.24,,63.47,69.17
a_1,0.23,0.32,0.29,0.46,,1.0,7.21,,9.02,8.12,9.98,14.28,20.06,,32.08,
h_1,0.05,0.06,0.06,0.07,0.1,0.14,1.0,1.79,1.3,1.48,1.48,2.19,,4.26,7.4,4.73
g_1,0.05,0.04,0.04,0.06,0.08,,0.56,1.0,1.19,1.32,1.26,2.04,2.66,,,
d_0,,0.04,0.03,0.07,0.07,0.11,0.77,0.84,1.0,0.91,1.28,1.73,2.75,2.44,4.44,4.88
c_0,0.02,0.03,0.03,,0.07,0.12,0.68,0.76,1.1,1.0,1.6,1.6,2.33,2.88,3.38,4.83
b_0,0.03,0.03,0.03,0.06,,0.1,0.68,0.79,0.78,0.62,1.0,1.03,2.43,2.59,3.4,2.42
f_0,0.02,,0.02,0.03,0.04,0.07,0.46,0.49,0.58,0.62,0.97,1.0,1.46,1.7,1.5,3.29
h_0,0.01,0.02,0.02,0.02,0.03,0.05,,0.38,0.36,0.43,0.41,0.69,,0.99,1.67,1.24
a_0,0.01,0.01,0.02,0.02,,,0.23,,0.41,0.35,0.39,0.59,1.01,1.0,1.63,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,,0.23,0.3,0.29,0.67,0.6,0.61,,
e_0,0.01,0.01,,0.01,0.01,,0.21,,0.2,0.21,0.41,0.3,0.81,,,1.0
