,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.05,1.54,1.75,1.3,1.65,1.21,0.58,0.59,0.32,0.45,0.48,0.39,0.35,0.42,0.38,0.32
f_1,1.58,1.04,1.49,1.74,1.48,1.13,0.48,0.59,0.49,0.44,0.46,0.41,0.28,0.33,0.37,0.35
d_1,1.64,1.6,1.04,1.71,1.52,1.36,0.57,0.41,0.58,0.5,0.4,0.44,0.34,0.4,0.36,0.25
e_1,1.8,1.17,1.65,1.04,1.64,1.42,0.64,0.67,0.59,0.47,0.55,0.44,0.38,0.56,0.41,0.41
b_1,1.19,1.87,1.85,1.69,1.05,1.79,0.74,0.65,0.51,0.63,0.49,0.64,0.42,0.45,0.44,0.39
a_1,2.43,2.83,2.59,2.49,1.41,1.06,0.92,1.02,0.78,0.84,0.69,0.88,0.57,0.64,0.91,0.63
h_1,4.33,4.61,3.96,4.28,4.01,3.52,1.24,1.46,1.32,1.15,1.15,1.13,0.98,0.92,0.93,1.0
g_1,5.13,4.99,5.11,4.56,4.74,3.77,1.57,1.25,1.55,1.43,1.51,1.34,0.87,1.19,1.1,1.11
d_0,6.28,5.08,5.86,3.53,5.47,4.2,2.1,1.95,1.34,1.35,1.71,1.36,1.16,1.53,1.44,1.26
c_0,8.26,5.7,3.84,5.88,4.95,4.4,2.15,1.93,2.29,1.33,1.52,1.78,1.24,1.52,1.51,1.1
f_0,5.98,8.23,6.14,5.57,5.67,4.77,2.23,1.61,1.89,1.8,1.37,1.77,1.29,1.85,1.72,1.01
b_0,8.67,6.25,4.96,6.42,6.34,4.82,2.26,2.12,2.13,1.22,1.66,1.39,1.35,1.57,1.8,1.22
h_0,7.44,8.49,7.24,7.28,6.87,6.22,3.14,3.05,2.51,2.17,2.19,2.01,1.89,1.85,1.85,1.61
e_0,7.87,11.38,7.05,8.75,7.59,5.68,3.12,2.43,2.39,2.08,1.38,2.17,1.72,1.45,1.99,1.44
a_0,8.65,8.06,8.12,7.7,8.48,6.85,2.91,3.06,2.41,1.99,1.9,1.4,1.67,1.95,1.48,1.75
g_0,8.85,8.98,8.54,7.55,8.02,6.65,2.57,3.21,2.51,2.41,2.44,2.13,1.57,2.15,1.97,1.78
