,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.07,11.33,10.27,8.02,7.17,7.26,2.33,3.58,3.16,2.47,,2.74,1.48,2.07,1.89,2.07
e_1,5.75,1.07,10.22,8.34,7.97,8.06,3.6,3.21,3.37,2.32,3.45,2.82,2.17,2.08,,1.66
d_1,8.59,9.2,1.07,9.6,8.43,9.47,3.72,2.71,,3.46,2.83,2.09,1.91,2.35,2.25,1.18
c_1,11.64,10.36,9.39,1.07,12.5,9.49,3.63,3.74,1.81,,3.2,2.93,2.48,2.48,2.3,2.19
b_1,13.48,11.55,12.44,6.94,1.07,11.52,4.42,3.8,3.42,3.47,2.87,,2.83,2.99,2.93,
a_1,14.48,20.38,18.15,15.81,8.84,1.07,6.35,3.84,3.08,4.72,5.13,5.19,3.9,,,3.0
h_1,15.73,15.37,13.11,14.01,12.73,9.31,1.41,5.39,4.29,4.05,3.74,3.96,,4.38,2.87,2.56
g_1,14.92,15.97,15.36,15.22,15.73,15.22,4.38,1.41,4.01,6.17,4.94,4.25,2.52,4.91,5.1,
d_0,14.71,8.53,,17.31,10.27,21.03,5.18,7.19,1.73,4.77,5.2,3.56,2.53,3.61,3.21,4.08
c_0,15.16,15.07,9.65,,17.27,14.2,6.01,5.65,4.5,1.73,3.59,6.35,3.13,5.07,4.33,2.49
f_0,,15.93,13.67,12.34,18.42,13.81,5.53,4.95,3.9,5.27,1.73,5.26,4.08,4.83,5.3,3.32
b_0,15.72,19.15,19.8,18.37,,14.37,6.9,6.04,5.56,2.56,5.5,1.7,4.0,,4.32,3.27
h_0,19.29,16.51,16.94,17.03,13.52,10.68,,7.39,5.94,6.33,3.84,4.42,,3.4,3.36,4.55
a_0,25.52,25.26,22.38,20.63,25.54,,9.29,5.76,6.16,4.59,6.94,,7.33,1.72,6.16,
e_0,28.23,,20.83,25.37,23.2,,7.47,6.64,8.52,5.68,3.45,8.21,6.27,5.28,1.73,
g_0,24.71,26.35,25.17,22.98,,16.52,7.76,,5.75,7.28,4.95,5.68,2.86,,,
