,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.26,0.02,0.03,0.03,0.03,0.01,0.05,0.11,0.05,0.06,0.04,0.06,0.09,0.1,,0.03
d_1,0.02,2.29,0.03,0.03,0.02,0.02,0.05,,0.13,0.05,0.07,0.06,0.1,0.06,0.05,0.05
f_1,0.04,0.03,2.3,0.03,0.02,0.03,0.05,0.06,0.06,0.04,0.06,,0.09,0.07,0.05,0.06
c_1,0.03,0.02,0.03,2.32,0.05,0.02,0.08,0.07,,0.04,0.05,0.07,0.06,0.06,0.07,0.04
b_1,0.03,0.03,0.03,0.02,2.52,,0.05,0.06,0.06,0.06,,0.05,0.09,0.05,0.03,0.04
a_1,0.03,0.02,0.04,0.03,,3.04,0.07,0.08,0.08,,0.05,0.06,0.07,0.06,,
h_1,0.12,0.09,0.11,0.11,0.1,0.08,2.69,0.28,0.25,0.28,0.24,0.18,,0.31,0.17,0.16
d_0,0.15,,0.17,0.31,0.12,0.13,0.2,2.0,0.28,0.19,0.32,0.22,0.39,0.33,0.13,0.31
c_0,0.14,0.16,0.18,,0.13,0.13,0.17,0.3,1.91,0.17,0.67,0.36,0.39,0.37,0.25,0.18
g_1,0.07,0.18,0.11,0.1,0.11,,0.17,0.23,0.25,3.03,0.22,0.41,0.23,,0.17,
b_0,0.12,0.15,0.13,0.12,,0.08,0.41,0.23,0.34,0.19,2.23,0.32,0.32,0.37,0.29,0.47
f_0,0.18,0.2,,0.11,0.17,0.1,0.31,0.42,0.36,0.18,0.27,2.03,0.38,0.35,0.41,0.19
h_0,0.29,0.16,0.35,0.17,0.16,0.16,,0.5,0.53,0.55,0.34,0.44,,0.66,0.29,0.3
g_0,0.19,0.47,0.11,0.21,0.22,0.18,0.46,0.5,0.3,,0.28,0.63,0.45,,0.38,0.28
e_0,,0.12,0.11,0.13,0.15,,0.28,0.29,0.4,0.29,0.3,0.24,0.52,0.45,2.69,
a_0,0.11,0.19,0.15,0.15,0.11,,0.31,0.36,0.36,,0.31,0.28,0.68,0.32,,2.48
