,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,1.44,0.99,0.9,0.88,0.66,1.11,1.27,0.97,1.15,1.13,0.95,1.08,1.01,0.88,1.24
e_1,1.04,1.54,1.22,0.91,0.94,0.81,1.19,1.8,1.1,1.13,1.13,1.26,1.25,0.98,1.03,1.23
c_1,1.07,0.96,1.57,1.02,1.45,0.87,1.14,1.01,1.02,0.88,0.94,1.01,1.32,0.98,0.8,1.16
d_1,1.13,1.09,0.91,1.59,0.93,0.83,1.2,1.04,1.08,1.73,1.36,1.04,1.34,1.11,0.94,1.09
b_1,1.11,0.99,0.91,1.09,1.63,1.48,1.29,1.12,1.08,1.18,1.01,1.16,1.38,0.87,1.03,1.22
a_1,1.27,1.05,1.15,1.16,0.84,1.77,1.46,1.3,1.28,1.26,1.35,1.22,1.41,0.96,1.25,1.32
h_1,1.53,1.26,1.28,1.27,1.14,0.89,1.84,1.46,1.42,1.39,1.49,1.24,1.42,1.26,1.4,1.76
d_0,1.29,1.05,1.98,1.12,1.3,1.04,1.36,1.79,1.49,1.19,1.55,1.35,1.75,1.44,1.49,1.42
g_1,1.33,1.21,1.34,1.63,1.28,0.98,1.47,1.27,1.94,1.46,1.41,1.71,1.54,1.41,1.37,1.35
c_0,1.41,1.36,1.34,1.2,1.11,0.93,1.57,1.71,1.46,1.84,2.41,1.54,1.94,1.88,1.41,1.55
b_0,1.46,1.38,1.53,1.21,1.12,0.81,1.61,1.61,1.39,1.26,1.88,1.54,1.86,2.31,1.44,1.51
f_0,1.36,1.19,1.43,1.4,1.36,1.14,1.67,1.67,1.4,1.49,1.52,1.9,1.98,1.64,2.46,1.35
h_0,1.82,1.47,1.2,1.39,1.19,1.03,1.46,1.49,1.72,1.35,1.5,1.39,1.43,1.18,1.43,1.75
a_0,1.52,1.5,1.53,1.37,1.34,0.97,1.61,1.64,1.42,1.51,1.2,1.36,1.92,1.94,1.38,1.67
e_0,1.44,1.2,1.56,1.63,1.43,1.1,1.63,1.33,1.7,1.67,1.7,1.1,1.89,1.51,1.91,1.56
g_0,1.37,1.33,1.4,1.85,1.38,1.07,1.46,1.57,1.26,1.6,1.62,2.01,1.72,1.28,1.69,1.45
