,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.88,1.06,0.98,0.93,0.88,0.93,0.94,1.02,0.89,0.85,0.79,0.77,1.01,0.8
e_1,0.83,1.0,1.01,1.19,0.85,0.91,1.14,1.16,1.03,1.43,1.1,1.18,1.1,1.31,1.05,1.03
d_1,1.13,1.0,1.0,0.92,0.92,0.87,1.09,0.87,1.32,1.09,1.04,1.02,1.05,0.99,0.81,1.01
c_1,0.94,0.84,1.09,1.0,1.45,1.0,0.97,1.0,0.79,0.7,0.87,1.03,1.05,1.0,0.95,0.99
b_1,1.02,1.16,1.08,0.7,1.0,1.48,0.92,1.07,0.93,0.9,0.89,0.88,1.05,0.89,1.16,0.95
a_1,1.07,1.11,1.15,1.03,0.66,1.0,1.08,0.94,0.93,0.9,1.3,0.97,1.16,1.28,1.08,1.05
h_1,1.09,0.94,0.95,1.01,1.05,0.92,1.0,1.25,0.87,1.02,0.95,0.98,1.05,0.86,1.2,1.05
g_1,1.09,0.88,1.2,0.99,0.97,0.99,0.79,1.0,0.99,0.88,1.02,1.07,0.9,0.98,0.93,1.16
c_0,1.05,0.98,0.76,1.16,1.02,1.04,1.14,1.06,1.0,0.91,1.4,1.03,1.02,1.03,1.09,1.06
d_0,0.98,0.69,0.97,1.56,1.06,1.13,1.03,1.12,1.02,1.0,0.98,1.07,0.96,0.83,1.09,1.04
b_0,1.07,0.95,0.87,1.22,1.21,0.74,1.02,1.03,0.68,1.06,1.0,0.99,1.04,1.7,1.06,1.01
f_0,1.21,0.85,0.99,0.95,1.25,1.02,1.06,0.94,0.98,0.92,1.04,1.0,1.07,0.99,0.8,1.49
h_0,1.22,0.89,0.89,0.99,0.89,0.87,1.03,1.11,0.98,1.05,0.93,0.95,1.0,0.98,1.22,0.85
a_0,1.23,0.77,1.05,0.99,1.22,0.92,1.14,1.0,0.97,1.17,0.63,1.02,0.98,1.0,1.1,1.16
g_0,0.93,0.95,1.23,1.03,0.9,0.9,0.85,1.08,0.86,0.92,0.97,1.25,0.82,0.91,1.0,0.91
e_0,1.22,0.93,0.96,1.05,1.06,0.97,0.95,0.87,0.88,0.95,1.01,0.64,1.13,0.9,1.21,1.0
