,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.05,1.49,1.08,1.87,1.57,1.26,0.59,0.59,0.47,0.61,0.55,0.46,0.37,0.44,0.49,0.37
d_1,1.73,1.04,1.61,1.55,1.51,1.25,0.58,0.41,0.5,0.54,0.45,0.4,0.34,0.42,0.39,0.25
f_1,1.72,1.55,1.05,1.46,1.5,1.26,0.49,0.62,0.45,0.46,0.5,0.42,0.29,0.4,0.35,0.39
c_1,1.32,1.95,1.73,1.05,1.86,1.48,0.63,0.7,0.61,0.33,0.47,0.44,0.38,0.38,0.45,0.33
b_1,1.78,1.86,2.02,1.15,1.05,1.7,0.73,0.69,0.61,0.51,0.48,0.58,0.41,0.45,0.5,0.39
a_1,2.46,2.52,2.64,2.08,1.38,1.06,0.97,0.88,0.8,0.8,0.71,0.95,0.51,0.79,0.63,0.5
h_1,3.9,4.16,4.49,4.17,3.82,3.28,1.23,1.47,1.17,1.27,1.16,1.19,1.08,0.94,0.93,0.98
g_1,4.97,4.99,4.93,4.99,4.54,3.84,1.65,1.24,1.4,1.58,1.38,1.42,0.89,1.21,1.22,1.23
c_0,5.77,3.84,5.44,6.61,6.12,4.3,2.03,1.71,1.32,2.33,1.56,1.7,1.35,1.52,1.38,1.12
d_0,3.67,6.78,5.06,6.58,5.34,4.18,2.17,2.14,1.44,1.35,1.59,1.68,1.3,1.38,1.44,1.41
f_0,5.59,5.67,7.33,5.72,6.08,4.83,2.19,1.68,1.69,1.89,1.35,1.58,1.36,1.39,1.69,0.98
b_0,5.76,5.69,6.26,8.52,6.92,4.67,2.18,1.94,1.22,1.94,1.71,1.36,1.39,1.81,1.52,1.28
h_0,7.36,7.43,8.13,6.83,6.53,6.32,3.01,2.95,2.09,2.38,1.94,1.9,1.88,1.82,1.69,1.74
a_0,7.95,7.02,7.5,8.92,8.51,6.78,3.03,2.7,1.94,2.39,2.24,1.37,1.89,1.45,2.16,1.81
e_0,8.46,7.56,9.95,7.62,6.48,5.9,2.96,2.63,2.32,2.31,1.41,2.19,1.77,1.9,1.39,1.51
g_0,8.19,8.54,8.59,7.88,7.69,7.47,2.49,3.01,2.44,2.55,2.41,2.25,1.49,1.79,2.05,1.87
