,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.38,0.21,0.28,0.36,0.33,0.28,0.55,0.59,0.61,0.87,0.54,0.6,0.74,0.55,,0.53
f_1,0.43,2.41,0.25,0.27,0.36,0.26,0.52,0.6,0.58,0.73,0.54,,0.68,0.44,0.66,0.6
d_1,0.18,0.31,2.53,0.23,0.27,0.35,0.56,0.48,0.84,,0.56,0.58,0.96,0.65,0.52,0.84
c_1,0.19,0.26,0.26,2.61,0.44,0.27,0.61,0.65,,0.58,0.66,0.55,0.81,0.55,0.77,0.69
b_1,0.3,0.24,0.26,0.22,2.71,0.41,0.52,0.45,0.95,0.82,,0.56,0.69,0.55,0.64,0.61
a_1,0.25,0.24,0.26,0.28,0.21,3.23,0.65,0.44,0.68,0.65,0.72,0.5,0.98,,0.72,0.63
h_1,0.59,0.7,0.43,0.54,0.52,0.52,3.87,1.39,1.29,0.9,0.88,1.23,,1.21,,2.03
g_1,0.51,0.36,0.91,0.42,0.5,0.54,1.01,4.05,1.14,1.11,0.94,2.23,1.18,0.92,1.22,
c_0,0.59,0.75,0.68,,0.37,0.56,1.1,1.22,3.45,1.31,2.2,1.45,1.9,1.36,1.32,1.52
d_0,0.55,0.67,,0.97,0.51,0.45,1.29,1.11,1.08,3.47,1.3,1.5,2.4,1.22,1.27,1.87
b_0,0.61,0.56,0.77,0.55,,0.53,1.49,1.2,1.02,1.48,3.79,1.32,1.36,2.4,1.27,1.45
f_0,0.69,,0.51,0.68,0.63,0.69,1.09,0.73,1.45,1.21,1.48,3.86,1.82,1.38,2.31,1.75
h_0,0.66,1.14,0.61,0.79,0.6,0.61,,1.97,1.3,1.23,1.91,1.35,,2.01,2.1,2.81
a_0,0.82,0.74,0.6,0.58,0.52,,1.21,1.27,1.36,1.48,1.02,1.31,1.52,4.39,,2.03
e_0,,0.47,0.69,0.59,0.71,0.62,,1.07,1.59,1.9,1.09,0.92,1.74,,4.63,1.97
g_0,0.84,0.69,0.82,0.75,0.87,0.68,1.21,,1.94,1.48,2.17,2.01,1.89,1.48,1.42,
