,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.47,1.12,1.49,1.01,1.13,1.27,2.62,4.42,2.91,2.44,3.0,3.14,3.24,3.13,2.82,3.43
f_1,1.82,2.52,1.17,1.34,1.03,1.01,2.01,2.36,2.41,2.48,2.55,1.8,3.11,3.08,1.83,3.41
c_1,1.04,1.18,2.53,1.24,2.07,1.1,2.24,2.21,1.43,2.09,1.89,2.69,3.21,2.74,2.64,3.39
d_1,1.41,1.15,1.1,2.54,1.41,1.09,2.24,1.8,4.0,2.21,3.0,2.78,3.38,2.34,2.64,2.84
b_1,1.16,1.47,1.0,1.17,2.75,2.21,2.38,2.34,3.15,2.41,1.59,2.5,3.27,2.27,2.5,3.05
a_1,1.21,1.44,1.28,1.42,0.84,3.15,2.89,2.82,2.31,2.3,2.95,3.0,3.51,1.85,3.42,3.36
h_1,1.26,1.75,1.4,1.44,1.24,1.12,4.06,2.78,2.86,3.48,2.75,2.86,2.96,2.72,3.32,4.46
d_0,1.11,1.41,2.25,1.06,1.4,1.35,2.48,3.96,2.37,2.52,3.14,3.12,4.05,2.75,3.42,4.05
c_0,1.39,1.66,1.3,1.24,0.88,1.46,2.67,3.18,4.01,2.64,5.04,2.76,4.33,3.84,3.52,3.83
g_1,1.27,1.07,1.45,2.01,1.14,1.35,2.26,2.7,2.97,4.48,3.05,3.93,3.43,2.42,3.06,2.6
b_0,1.33,1.42,1.69,1.38,1.08,1.06,2.82,3.0,2.64,2.69,4.44,2.9,3.77,5.31,3.19,3.87
f_0,1.11,1.2,1.55,1.39,1.51,1.27,2.77,3.15,2.9,2.58,3.14,4.39,3.86,3.01,5.36,3.24
h_0,1.22,1.79,1.52,1.4,1.32,1.28,2.0,2.73,2.55,3.1,3.06,2.71,3.13,2.98,2.98,4.72
a_0,1.29,1.35,1.4,1.54,1.5,1.05,2.9,3.08,2.61,3.18,2.52,3.16,4.71,4.98,3.01,3.71
e_0,0.84,1.76,1.38,1.45,1.47,1.25,2.94,2.69,3.05,2.71,3.24,2.64,3.93,3.32,5.07,3.66
g_0,1.1,1.26,1.36,1.89,1.44,1.23,2.54,2.34,2.8,2.62,2.93,4.08,2.91,3.55,3.78,3.32
