,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.37,1.49,1.6,1.76,3.18,17.92,32.49,31.59,40.83,41.82,48.89,65.51,88.82,110.81,124.1
e_1,0.74,1.0,1.2,1.49,1.48,3.51,23.72,43.46,28.59,32.17,49.11,69.02,81.28,86.74,134.13,142.82
d_1,0.68,0.83,1.0,0.89,1.24,2.1,13.47,22.33,32.34,18.59,27.68,41.42,53.47,71.9,80.18,69.98
c_1,0.62,0.68,1.11,1.0,1.48,2.52,13.36,15.29,16.76,21.31,23.17,36.55,51.5,61.85,83.9,86.46
b_1,0.57,0.67,0.82,0.67,1.0,3.69,15.65,20.27,22.85,23.03,32.89,39.28,50.86,47.0,75.61,92.38
a_1,0.31,0.28,0.48,0.39,0.27,1.0,5.98,8.51,8.64,12.49,11.85,16.49,18.89,27.38,35.08,29.96
h_1,0.06,0.04,0.07,0.07,0.07,0.16,1.0,1.37,1.49,1.99,2.03,2.43,3.64,4.29,5.57,6.76
d_0,0.03,0.02,0.04,0.07,0.05,0.12,0.74,1.0,1.05,1.16,1.17,2.05,2.57,2.87,4.16,4.37
c_0,0.03,0.04,0.03,0.06,0.04,0.11,0.65,0.98,1.0,1.17,1.86,1.55,2.54,3.31,3.76,3.79
g_1,0.02,0.03,0.05,0.05,0.05,0.08,0.48,0.87,0.88,1.0,1.34,2.16,1.91,2.3,3.51,3.59
b_0,0.02,0.02,0.03,0.04,0.03,0.08,0.48,0.8,0.57,0.75,1.0,1.25,1.77,3.09,2.56,2.38
f_0,0.02,0.01,0.02,0.03,0.03,0.06,0.41,0.51,0.63,0.47,0.85,1.0,1.37,1.67,3.41,1.93
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.26,0.37,0.39,0.52,0.56,0.74,0.99,1.01,1.53,1.86
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.34,0.32,0.44,0.35,0.59,1.01,1.0,1.17,1.45
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.24,0.27,0.27,0.38,0.28,0.66,0.76,1.0,1.06
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.23,0.25,0.28,0.42,0.53,0.53,0.76,0.96,1.0
