,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,1.16,1.12,1.97,3.7,19.17,36.89,36.65,34.63,39.49,50.28,80.86,79.97,,130.86
f_1,1.22,1.0,1.03,1.23,1.7,2.98,16.19,28.12,34.0,32.91,34.79,,71.42,80.53,97.34,118.42
c_1,0.86,0.98,1.0,1.15,2.29,2.44,17.89,15.95,,32.06,23.26,43.43,79.51,80.09,95.21,102.36
d_1,0.89,0.81,0.87,1.0,1.63,2.13,17.9,,33.42,23.93,28.49,53.54,64.01,86.58,102.97,65.27
b_1,0.51,0.59,0.44,0.62,1.0,2.93,11.88,14.79,17.82,19.72,,26.45,39.34,,66.51,69.84
a_1,0.27,0.34,0.41,0.47,0.34,1.0,6.84,9.81,11.14,10.43,11.42,16.53,27.85,,,40.35
h_1,0.05,0.06,0.06,0.06,0.08,0.15,1.0,1.33,1.45,1.5,1.47,1.77,,4.01,5.35,5.74
d_0,0.03,0.04,0.06,,0.07,0.1,0.75,1.0,1.1,1.11,1.3,1.79,3.14,3.65,3.46,4.45
c_0,0.03,0.03,,0.03,0.06,0.09,0.69,0.91,1.0,1.08,1.72,1.57,2.48,2.14,2.94,4.4
g_1,0.03,0.03,0.03,0.04,0.05,0.1,0.67,0.9,0.93,1.0,0.93,2.12,1.9,3.07,2.59,
b_0,0.03,0.03,0.04,0.04,,0.09,0.68,0.77,0.58,1.07,1.0,1.03,2.37,2.93,2.89,3.62
f_0,0.02,,0.02,0.02,0.04,0.06,0.57,0.56,0.64,0.47,0.97,1.0,1.81,1.81,2.57,2.48
h_0,0.01,0.01,0.01,0.02,0.03,0.04,,0.32,0.4,0.53,0.42,0.55,,1.02,1.24,1.58
a_0,0.01,0.01,0.01,0.01,,,0.25,0.27,0.47,0.33,0.34,0.55,0.98,1.0,1.09,
e_0,,0.01,0.01,0.01,0.02,,0.19,0.29,0.34,0.39,0.35,0.39,0.81,0.92,1.0,1.14
g_0,0.01,0.01,0.01,0.02,0.01,0.02,0.17,0.22,0.23,,0.28,0.4,0.63,,0.88,
