,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.36,1.75,1.04,0.96,1.08,0.98,2.0,2.14,2.01,2.46,2.4,1.3,2.6,2.31,2.21,3.32
e_1,1.07,2.43,1.28,1.07,1.04,1.22,2.38,4.41,2.35,2.93,2.5,3.02,2.88,2.41,2.83,3.03
c_1,1.13,1.09,2.54,1.17,1.83,1.03,1.91,1.88,1.8,1.19,2.27,2.32,2.94,2.29,2.11,2.86
d_1,1.29,1.07,1.02,2.61,1.01,1.14,2.08,1.89,2.29,3.57,2.87,2.18,3.43,2.69,2.01,3.06
b_1,1.23,1.06,0.95,1.27,2.75,1.83,2.46,2.09,1.94,2.06,1.31,2.64,3.13,1.91,2.06,3.55
a_1,1.19,0.98,1.25,1.19,1.0,3.26,2.48,2.68,2.34,2.67,2.61,3.34,3.1,1.83,3.13,2.54
h_1,1.58,1.16,1.3,1.32,1.06,1.04,3.96,2.67,3.07,2.62,3.2,2.44,2.53,2.6,3.09,3.81
d_0,1.2,0.92,2.25,0.9,1.16,1.24,2.34,3.86,2.88,2.45,3.13,2.78,3.92,2.93,3.2,3.14
g_1,1.15,1.13,1.37,1.69,1.4,1.0,2.01,2.19,4.53,2.12,2.73,4.18,3.23,3.06,2.78,2.44
c_0,1.21,1.16,1.19,1.25,1.14,1.06,2.66,2.92,2.85,4.1,5.04,2.73,4.15,3.25,3.09,3.3
b_0,1.41,1.26,1.5,1.23,0.94,0.97,2.61,2.82,2.44,2.02,4.23,3.0,3.87,5.36,3.49,3.42
f_0,1.0,1.06,1.49,1.42,1.3,0.88,2.66,2.95,2.3,2.59,2.75,4.58,4.33,4.01,6.3,2.58
h_0,1.81,1.31,1.17,1.24,1.18,1.21,2.19,2.37,3.01,2.29,2.93,2.53,2.41,2.75,3.07,4.35
a_0,1.28,1.31,1.47,1.26,1.39,0.76,2.56,2.83,2.32,2.63,1.82,2.76,3.8,4.82,3.15,3.59
e_0,1.14,0.8,1.61,1.76,1.48,1.14,2.25,2.47,2.92,3.1,2.65,2.04,4.02,2.77,5.05,2.87
g_0,1.12,1.19,1.34,1.71,1.18,1.21,2.3,2.41,2.19,2.74,2.56,4.34,2.94,2.64,3.13,2.64
