,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.9,0.22,0.33,0.16,0.19,0.12,0.17,0.18,0.19,0.15,0.19,0.07,0.12,0.19,0.09,0.14
c_1,0.23,0.9,0.19,0.38,0.18,0.11,0.15,0.22,0.07,0.15,0.08,0.13,0.09,0.17,0.09,0.15
e_1,0.27,0.29,0.89,0.2,0.14,0.11,0.22,0.38,0.19,0.13,0.17,0.15,0.12,0.18,0.04,0.16
b_1,0.24,0.22,0.2,0.89,0.2,0.24,0.18,0.17,0.17,0.15,0.09,0.15,0.09,0.15,0.13,0.13
d_1,0.24,0.13,0.22,0.18,0.9,0.15,0.17,0.12,0.37,0.16,0.21,0.21,0.15,0.19,0.12,0.16
a_1,0.26,0.22,0.21,0.19,0.24,0.88,0.19,0.17,0.17,0.14,0.18,0.17,0.07,0.15,0.12,0.15
h_1,0.37,0.32,0.23,0.22,0.24,0.14,0.58,0.24,0.2,0.24,0.2,0.17,0.15,0.15,0.12,0.23
d_0,0.31,0.5,0.24,0.27,0.14,0.12,0.21,0.45,0.16,0.15,0.13,0.19,0.14,0.23,0.16,0.19
c_0,0.3,0.19,0.27,0.18,0.27,0.15,0.23,0.25,0.48,0.18,0.41,0.22,0.22,0.26,0.15,0.19
g_1,0.26,0.26,0.25,0.19,0.43,0.13,0.17,0.21,0.24,0.58,0.19,0.26,0.16,0.23,0.14,0.12
b_0,0.33,0.28,0.26,0.13,0.27,0.12,0.21,0.3,0.27,0.18,0.43,0.19,0.35,0.25,0.14,0.22
f_0,0.25,0.32,0.21,0.24,0.24,0.19,0.24,0.31,0.27,0.17,0.23,0.43,0.17,0.23,0.28,0.19
a_0,0.38,0.3,0.3,0.21,0.21,0.1,0.25,0.29,0.22,0.18,0.21,0.2,0.42,0.27,0.16,0.18
h_0,0.44,0.29,0.22,0.24,0.23,0.15,0.12,0.29,0.22,0.24,0.22,0.17,0.17,0.13,0.15,0.22
e_0,0.37,0.25,0.16,0.28,0.29,0.16,0.25,0.22,0.24,0.2,0.2,0.2,0.18,0.22,0.37,0.25
g_0,0.25,0.26,0.2,0.24,0.38,0.16,0.24,0.24,0.22,0.12,0.2,0.3,0.16,0.24,0.19,0.12
