,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.74,1.15,0.56,0.6,0.47,0.46,1.03,0.79,0.95,0.88,0.99,0.33,0.83,0.87,0.46,1.08
e_1,0.72,2.78,0.49,0.81,0.52,0.54,0.78,0.79,1.56,0.77,1.12,1.1,0.97,1.04,0.51,0.79
d_1,0.64,0.52,3.1,0.42,0.59,0.68,0.96,0.92,0.39,1.87,1.1,1.06,1.03,0.96,1.15,0.99
c_1,0.48,0.57,0.51,3.08,1.26,0.61,0.88,0.73,1.02,0.27,0.53,0.92,0.86,0.52,0.87,0.92
b_1,0.67,0.46,0.68,0.56,3.48,1.17,0.83,1.0,0.73,0.92,0.38,0.93,1.01,1.07,1.18,0.89
a_1,0.71,0.59,0.78,0.7,0.51,5.1,0.88,0.9,0.82,0.9,0.9,0.68,1.03,0.51,0.69,0.8
h_1,1.08,0.78,0.76,0.69,0.71,0.48,2.93,1.34,1.11,0.72,1.11,0.98,0.87,1.22,1.26,1.71
g_1,0.67,0.65,1.2,0.8,0.63,0.62,0.94,3.52,0.86,1.12,1.18,1.91,1.31,0.97,1.5,0.75
d_0,0.84,0.8,0.28,1.41,0.74,0.61,1.08,1.19,2.3,0.78,1.1,1.23,1.1,1.0,1.2,1.18
c_0,0.92,0.64,0.94,0.46,0.5,0.62,1.07,1.36,1.06,2.74,2.48,1.29,1.46,1.34,1.62,1.4
b_0,0.74,0.74,0.85,0.83,0.41,0.48,1.13,1.17,1.26,1.35,3.02,1.42,1.38,2.74,1.29,1.35
f_0,0.45,0.59,0.94,0.71,0.82,0.78,1.13,0.95,1.14,1.34,1.29,3.24,1.38,1.46,3.31,1.41
h_0,0.92,0.64,1.03,0.82,0.66,0.73,0.71,1.51,1.06,1.05,1.19,1.29,0.61,1.14,1.38,1.66
a_0,0.81,0.61,1.07,0.73,0.77,0.31,1.11,1.33,0.95,1.11,1.21,1.51,1.42,3.38,1.4,1.21
e_0,0.85,0.35,0.97,0.95,0.77,0.59,1.37,1.0,1.18,1.04,1.24,1.15,1.44,1.32,3.69,1.32
g_0,0.67,0.82,1.31,0.72,0.55,0.63,0.99,1.12,0.91,1.2,1.2,1.9,1.13,1.3,1.39,0.52
