,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.9,0.8,1.22,1.06,0.91,1.12,1.32,1.03,1.0,1.06,1.11,1.05,1.08,1.18,1.14
d_1,1.11,1.0,1.06,0.94,0.96,0.87,0.96,1.08,0.83,1.22,1.1,1.03,0.97,0.96,0.95,0.88
f_1,1.24,0.93,1.0,0.99,0.96,0.88,0.8,0.97,1.06,0.87,0.96,0.91,0.95,1.01,0.83,0.96
c_1,0.82,1.05,1.03,1.0,1.4,0.97,1.05,0.74,0.99,0.87,0.78,0.98,0.91,0.92,1.01,1.04
b_1,0.93,1.05,1.02,0.72,1.0,1.67,1.02,0.93,1.05,1.12,0.94,0.96,1.11,0.79,1.02,1.01
a_1,1.12,1.17,1.14,1.01,0.6,1.0,1.11,1.02,1.13,1.04,1.19,1.02,1.07,1.16,1.06,1.11
h_1,0.92,1.02,1.26,0.96,0.97,0.86,1.0,0.87,1.14,0.93,0.96,0.88,1.0,1.0,0.91,1.06
d_0,0.77,0.95,0.97,1.4,1.06,1.03,1.2,1.0,1.08,0.8,1.0,0.89,1.08,1.03,0.87,1.03
g_1,0.96,1.15,0.95,1.01,0.99,0.89,0.89,0.92,1.0,0.97,0.96,1.22,0.81,0.91,1.04,1.03
c_0,0.96,0.83,1.17,1.14,0.88,0.95,1.09,1.3,1.05,1.0,1.45,1.03,1.17,1.13,1.0,0.92
b_0,0.98,0.88,1.03,1.29,1.0,0.82,1.04,0.99,1.08,0.7,1.0,1.0,1.09,1.43,0.98,0.94
f_0,0.91,1.01,1.09,1.06,0.99,1.0,1.06,1.16,0.8,0.98,0.96,1.0,0.94,1.12,1.51,0.9
h_0,0.96,1.02,1.06,1.1,0.91,0.88,1.02,0.92,1.22,0.89,0.92,1.0,1.0,0.88,0.85,1.15
a_0,0.96,1.04,0.97,1.1,1.27,0.84,0.98,0.97,1.16,0.84,0.7,0.94,1.12,1.0,0.99,0.94
e_0,0.9,1.06,1.25,1.01,1.03,0.9,1.2,1.12,0.98,0.94,1.05,0.69,1.17,1.05,1.0,1.04
g_0,0.9,1.18,0.99,0.98,0.94,0.85,0.94,0.98,0.94,1.13,1.03,1.12,0.85,1.08,0.92,1.01
