,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.34,0.19,0.28,0.23,0.31,0.24,0.49,0.5,1.04,0.73,0.65,0.62,0.65,0.56,0.94,
f_1,0.5,2.37,0.28,0.25,0.25,0.33,0.45,0.42,0.63,0.61,0.66,,0.72,0.63,0.67,0.58
d_1,0.3,0.28,2.53,0.26,0.25,0.31,0.6,0.5,,0.97,0.5,0.62,0.82,0.59,0.72,0.52
c_1,0.27,0.24,0.27,2.54,0.49,0.25,0.63,0.57,0.61,,0.54,0.61,0.89,0.63,0.64,0.57
b_1,0.27,0.34,0.29,0.19,2.77,0.45,0.56,0.68,0.47,0.66,,0.86,0.65,0.48,0.62,0.65
a_1,0.28,0.25,0.27,0.31,0.25,3.35,0.6,0.49,0.62,0.65,0.56,0.76,0.9,,,
h_1,0.54,0.75,0.53,0.51,0.46,0.38,3.77,1.38,1.36,1.12,1.14,1.05,,1.21,1.35,1.32
g_1,0.48,0.59,0.74,0.49,0.45,0.62,1.12,4.11,0.9,0.85,1.33,1.56,1.61,1.08,,1.06
d_0,0.46,0.56,,1.05,0.78,0.65,1.13,1.05,3.39,1.33,1.38,1.13,1.94,1.63,1.85,1.36
c_0,0.57,0.67,0.53,,0.57,0.54,1.34,1.3,1.52,3.57,2.2,0.83,1.91,0.99,2.18,1.54
b_0,0.65,0.58,0.62,0.67,,0.52,1.56,1.23,1.14,1.06,3.75,1.58,1.8,2.44,1.38,1.37
f_0,0.54,,0.68,0.69,0.44,0.55,1.1,1.08,1.71,1.82,1.31,3.94,1.89,1.19,1.25,2.26
h_0,0.79,1.01,0.76,0.66,0.87,0.56,,1.66,1.33,1.55,1.62,1.52,,1.47,3.27,1.62
a_0,0.69,0.61,0.52,0.69,0.61,,1.01,1.23,1.51,1.68,0.96,1.53,1.57,4.65,2.04,
g_0,0.5,0.96,1.05,0.85,0.66,,1.41,,1.32,1.32,2.07,2.2,2.0,1.36,,2.03
e_0,,0.55,0.56,0.68,0.65,,1.39,1.16,1.72,1.38,1.64,1.29,1.72,,1.79,4.88
