,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.43,2.15,1.4,1.46,1.39,1.25,2.47,3.25,2.8,3.09,3.19,2.36,3.79,3.44,4.05,2.57
e_1,1.35,2.46,1.36,1.77,1.58,1.43,2.87,5.12,2.95,3.05,3.47,3.75,4.39,3.3,4.64,3.06
d_1,1.68,1.52,2.54,1.28,1.45,1.35,2.76,2.8,2.79,4.99,3.47,3.26,4.06,3.56,3.71,3.73
c_1,1.44,1.28,1.59,2.59,2.3,1.39,2.61,2.41,2.8,2.23,2.43,3.47,3.95,3.41,3.72,3.2
b_1,1.57,1.38,1.43,1.3,2.72,2.8,3.17,3.13,2.76,3.14,2.64,3.16,3.57,2.56,4.02,3.54
a_1,1.63,1.54,1.59,1.62,1.12,3.36,3.89,3.11,3.36,3.0,3.83,2.95,4.58,3.38,3.64,3.41
h_1,1.91,1.52,1.73,1.68,1.42,1.2,4.18,2.6,3.71,3.01,3.41,3.06,3.56,3.05,4.93,3.58
d_0,1.49,1.19,1.13,2.67,1.73,1.66,3.32,4.27,2.7,2.43,3.41,3.48,3.82,2.93,4.8,3.89
g_1,1.54,1.43,2.08,1.41,1.48,1.35,2.61,2.96,4.71,3.62,3.69,4.74,4.39,3.69,3.58,3.54
c_0,1.67,1.63,1.46,1.52,1.25,1.66,3.03,3.43,3.0,4.36,5.97,3.72,4.67,4.46,4.3,3.95
b_0,1.68,1.59,1.74,1.77,1.27,1.24,3.09,3.36,2.86,3.04,4.6,3.3,4.63,6.1,4.2,3.89
f_0,1.46,1.19,1.78,1.72,1.67,1.48,3.18,3.41,2.89,3.31,4.06,4.7,4.85,4.33,3.9,6.42
h_0,1.93,1.52,1.74,1.49,1.5,1.35,2.6,3.03,3.69,3.2,3.34,3.08,3.5,3.7,4.7,3.25
a_0,1.54,1.61,1.81,1.72,1.64,1.29,3.47,3.45,3.2,2.94,3.11,3.39,3.88,5.01,4.85,3.6
g_0,1.41,1.31,2.12,1.79,1.56,1.48,2.97,3.01,2.62,3.27,3.61,4.69,3.81,3.58,3.82,3.72
e_0,1.77,1.09,1.56,1.84,1.68,1.65,3.0,3.34,3.21,3.3,3.82,3.1,5.14,3.54,4.47,5.49
