,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.41,2.07,2.11,2.3,1.89,0.68,0.58,0.87,0.55,0.56,0.88,0.38,0.52,0.52,0.51
e_1,1.52,1.06,2.29,2.71,2.43,2.23,0.96,0.69,0.93,0.83,0.62,0.75,0.61,0.61,0.9,0.55
d_1,2.73,2.79,1.06,2.07,2.16,1.82,0.85,0.78,0.55,1.45,0.69,0.71,0.54,0.61,0.66,0.35
c_1,2.49,2.1,3.25,1.06,2.74,1.63,0.98,0.83,0.91,0.43,0.62,0.65,0.58,0.61,0.54,0.5
b_1,2.66,2.6,2.55,1.59,1.06,3.14,0.93,0.88,1.07,0.78,1.16,0.67,0.61,0.67,0.63,0.6
a_1,3.89,3.85,3.46,5.0,1.91,1.07,1.42,1.3,1.42,1.03,1.52,1.02,0.88,2.06,1.12,0.93
h_1,6.72,5.62,5.44,6.39,5.34,4.57,1.34,1.77,2.52,2.0,2.36,1.76,1.95,1.46,1.43,1.39
c_0,8.46,6.91,4.27,12.95,7.01,5.28,2.92,1.49,2.1,2.28,2.51,2.14,1.54,2.02,1.82,1.51
g_1,7.42,6.28,8.21,7.47,7.14,5.76,2.32,2.89,1.35,2.2,1.81,2.41,1.38,2.44,1.79,2.77
d_0,9.28,4.67,8.32,10.01,8.0,6.61,2.98,2.39,3.15,1.61,2.13,1.88,1.56,1.9,1.79,1.82
b_0,8.97,8.14,6.68,10.6,10.48,6.45,2.56,1.53,3.49,2.46,1.54,2.4,1.71,2.79,2.2,2.2
f_0,14.14,7.79,6.71,7.7,8.21,7.32,3.48,2.42,2.03,2.39,2.57,1.56,2.1,2.26,3.17,1.22
h_0,10.73,9.13,9.19,10.76,8.9,7.91,4.42,3.27,3.65,3.21,2.66,2.61,2.8,2.77,2.56,2.68
a_0,12.8,10.22,10.19,9.2,12.37,11.22,4.29,2.99,3.4,2.98,1.65,2.64,2.33,1.61,2.7,2.46
e_0,14.68,14.71,9.58,11.16,10.3,10.45,4.29,3.01,4.0,3.79,2.82,1.58,2.56,2.61,1.59,2.57
g_0,13.99,10.95,11.69,11.62,9.72,8.83,3.39,3.76,4.52,3.28,2.99,4.05,1.78,2.84,2.43,2.99
