,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,5.89,2.28,1.99,2.73,2.33,1.96,8.08,8.18,16.41,9.87,10.37,10.89,14.8,11.52,8.75,16.11
f_1,3.87,5.93,2.12,2.11,1.89,1.87,7.81,7.44,9.93,8.66,7.05,10.41,15.12,11.55,6.39,12.93
d_1,2.03,2.45,6.9,1.84,2.09,2.4,8.06,7.82,5.89,19.68,10.07,12.64,15.87,11.8,13.55,15.69
c_1,2.05,2.2,2.17,7.01,4.01,2.09,8.2,7.39,9.41,6.19,8.9,7.14,16.07,8.95,9.88,16.3
b_1,1.99,2.22,2.01,2.23,7.58,4.28,7.86,8.03,9.42,10.04,11.17,7.66,15.86,8.85,11.81,14.1
a_1,2.19,2.44,2.25,2.31,2.12,10.79,7.82,8.03,10.89,10.74,10.99,11.39,19.96,9.02,9.11,15.67
h_1,2.14,3.15,2.75,2.08,2.46,2.29,16.62,12.03,9.22,11.45,10.97,12.07,12.54,12.93,13.97,21.83
g_1,2.1,2.18,3.74,2.5,2.23,2.28,7.42,20.44,8.95,12.08,17.62,12.46,17.49,12.7,15.76,15.89
d_0,2.12,2.37,1.55,4.73,2.64,2.29,8.34,8.51,18.33,7.84,11.14,11.74,15.57,11.27,12.38,18.3
c_0,2.46,2.78,2.44,1.79,1.78,3.12,9.55,9.34,11.19,19.15,12.0,24.35,18.45,17.24,17.77,20.81
f_0,1.94,2.16,2.86,2.69,2.47,2.54,9.31,10.56,10.73,12.68,20.9,13.94,20.09,13.41,29.59,19.24
b_0,2.63,2.83,2.6,2.78,1.57,1.98,9.42,9.58,10.28,10.29,14.38,21.28,19.17,26.96,14.33,21.64
h_0,2.33,3.39,2.56,2.65,2.47,2.17,7.52,11.76,9.12,9.77,11.98,11.13,12.51,11.42,13.18,24.21
a_0,2.28,2.96,2.82,2.29,2.59,1.19,10.04,9.39,9.45,11.39,14.06,11.41,22.7,27.23,16.26,21.17
e_0,1.84,2.51,2.8,2.8,2.67,2.57,9.85,10.99,9.68,11.45,10.27,13.29,17.62,13.18,28.58,18.98
g_0,1.98,2.11,3.83,2.59,2.45,2.51,9.83,8.4,9.35,11.59,17.39,11.14,18.16,11.72,15.49,15.18
