,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,10.75,1.72,0.6,0.73,0.62,0.52,0.85,0.78,0.99,0.74,0.91,0.56,0.98,0.85,0.86,0.67
e_1,0.76,10.1,0.6,0.96,0.58,0.63,1.26,0.94,2.16,1.0,1.17,1.06,1.19,1.01,0.99,0.82
d_1,0.74,0.63,11.88,0.51,0.62,0.72,1.03,1.03,0.53,2.76,1.54,1.22,1.06,0.97,1.05,1.19
c_1,0.66,0.61,0.66,11.45,1.88,0.79,0.73,0.73,0.83,0.49,0.52,0.82,0.86,0.92,0.83,0.9
b_1,0.61,0.56,0.87,0.65,13.05,2.05,0.82,0.86,0.83,0.76,0.57,0.96,0.62,0.91,0.9,0.88
a_1,0.72,0.58,0.86,0.67,0.79,18.0,1.04,1.08,0.88,0.86,0.81,1.08,0.6,1.41,1.05,0.98
h_1,1.27,0.71,0.84,0.84,0.62,0.62,3.01,1.41,1.13,1.05,1.13,1.06,0.97,0.8,1.56,1.32
g_1,0.61,0.7,1.82,0.76,0.61,0.77,0.82,3.62,0.72,1.1,1.08,1.67,0.89,1.06,1.01,1.12
d_0,0.77,0.63,0.52,2.68,0.88,0.65,1.0,1.03,1.96,0.6,0.9,1.02,1.15,1.08,1.09,1.1
c_0,0.94,0.9,0.8,0.69,0.52,0.63,1.17,1.31,1.18,2.27,4.39,1.33,1.55,1.21,1.1,1.34
b_0,1.09,0.73,0.93,0.86,0.56,0.5,1.03,1.39,1.04,1.02,2.34,0.93,3.16,1.53,1.24,1.05
f_0,0.62,0.67,0.9,1.01,0.84,0.75,1.25,1.15,1.23,1.06,1.12,2.67,1.09,1.16,1.22,3.3
a_0,1.1,0.8,0.97,0.87,0.62,0.49,1.34,1.34,1.08,1.0,1.35,1.18,3.09,1.08,1.27,0.99
h_0,1.45,0.85,0.95,0.78,0.68,0.51,0.64,1.65,0.81,0.89,0.95,1.1,0.91,0.77,1.77,1.05
g_0,0.78,0.65,1.46,0.8,0.72,0.78,1.17,0.82,0.89,0.96,0.9,1.84,1.08,1.16,0.88,1.34
e_0,0.97,0.68,0.91,1.01,0.68,0.72,0.96,1.35,0.79,1.13,1.22,0.89,1.17,1.29,1.27,3.36
