,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,87.29,71.57,73.0,86.53,98.93,322.35,9364.1,16808.84,20123.39,18567.14,25624.81,28062.93,80335.33,84235.92,94829.12,205322.05
e_1,38.07,95.0,61.02,103.92,120.28,342.49,9883.96,13133.08,20254.6,36105.28,28962.68,53829.61,98261.81,112219.96,113268.15,244084.41
d_1,36.14,39.57,137.64,63.56,92.81,345.33,9086.86,14373.17,27722.62,11014.72,27675.73,45047.7,74075.67,76053.13,105533.01,163599.36
c_1,33.91,30.54,62.15,157.72,142.11,292.65,6738.86,13544.86,8925.19,13752.58,20205.6,42638.71,76235.57,71494.44,131490.96,141023.69
b_1,32.58,29.77,50.98,59.7,203.51,424.32,6262.25,12771.33,15563.7,14111.01,15408.66,34904.07,67542.91,56345.33,104466.61,138301.18
a_1,23.07,20.38,35.31,40.77,49.87,534.99,5880.19,9963.41,11135.48,12340.92,18703.14,22867.62,46685.09,44217.95,70588.73,115686.2
h_1,11.55,10.07,15.79,19.85,22.35,68.77,3789.07,5389.89,4711.17,4138.5,6664.63,9670.98,19515.46,25486.82,35713.74,54476.18
g_1,6.67,8.07,19.55,13.85,22.34,68.81,1364.98,6030.69,4577.99,2634.63,6175.61,14841.34,15673.14,19618.41,30974.62,33545.38
c_0,9.48,8.13,12.95,13.55,16.04,58.59,1996.28,3203.29,5519.2,4600.62,9224.62,11627.98,19477.86,21183.74,31439.4,45646.97
d_0,8.43,6.82,9.08,27.34,20.91,50.8,2070.97,3448.51,2635.74,5528.07,5695.27,7394.54,19382.54,17035.62,25614.58,37432.65
b_0,8.05,7.59,13.55,14.74,11.79,51.89,1786.46,2753.54,2976.64,3429.13,7480.18,8345.8,16286.16,25601.43,28242.43,35240.53
f_0,4.25,5.63,10.06,10.96,17.05,61.93,1399.99,2201.73,2589.14,3458.13,4890.54,11692.68,15241.41,17656.63,41697.45,26789.74
h_0,7.04,5.51,9.41,9.62,15.05,42.62,654.66,2362.9,2122.66,2171.03,3318.12,5135.38,8663.06,11454.22,18800.2,26444.88
a_0,5.7,4.58,9.2,10.98,14.6,24.31,1045.05,1731.35,2252.88,2409.45,3034.36,4647.08,11411.63,18875.44,13614.19,24301.92
e_0,4.64,2.89,8.52,8.03,11.7,32.2,950.91,2044.35,1915.77,2360.79,3029.62,4755.13,9670.28,14680.13,27101.48,19042.31
g_0,3.61,3.65,9.56,8.07,10.19,30.57,867.57,1282.24,1868.57,1617.39,2704.05,6250.86,8774.39,9059.92,16931.94,14150.12
