,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.5,0.71,0.51,0.51,0.47,0.32,0.43,0.48,0.52,0.45,0.52,0.27,0.4,0.5,0.58,0.31
e_1,0.46,1.5,0.42,0.42,0.43,0.34,0.58,0.49,0.96,0.6,0.62,0.62,0.5,0.57,0.51,0.26
d_1,0.46,0.45,1.53,0.42,0.41,0.43,0.55,0.43,0.27,0.91,0.63,0.53,0.44,0.73,0.45,0.56
c_1,0.48,0.55,0.48,1.55,0.71,0.37,0.47,0.47,0.44,0.21,0.45,0.49,0.51,0.58,0.52,0.37
b_1,0.43,0.48,0.51,0.41,1.61,0.71,0.61,0.5,0.6,0.49,0.24,0.64,0.42,0.61,0.53,0.45
a_1,0.57,0.56,0.54,0.47,0.37,1.72,0.74,0.63,0.57,0.64,0.51,0.43,0.29,0.65,0.52,0.44
h_1,1.05,0.66,0.73,0.76,0.58,0.51,1.69,0.94,0.97,0.94,0.71,0.8,0.61,0.61,1.06,0.74
g_1,0.69,0.7,1.21,0.81,0.58,0.5,0.76,1.76,0.6,0.77,0.74,0.95,0.57,0.74,0.64,0.67
d_0,0.83,0.6,0.47,1.37,0.7,0.65,0.91,0.89,1.49,0.87,0.83,0.84,0.82,0.97,0.82,0.71
c_0,1.02,0.75,0.7,0.61,0.65,0.6,0.82,1.04,0.91,1.54,1.71,0.96,0.96,1.01,0.86,0.71
b_0,0.95,0.71,0.72,0.93,0.52,0.61,1.01,0.82,1.02,0.65,1.54,0.76,1.52,1.17,1.05,0.84
f_0,0.63,0.62,0.89,0.88,0.67,0.81,1.07,0.77,1.05,0.96,0.95,1.57,0.84,0.95,0.95,1.65
a_0,1.12,0.83,0.88,0.93,0.74,,0.97,1.06,0.97,0.84,0.86,0.89,1.68,1.01,0.95,0.61
h_0,1.27,0.74,0.72,0.88,0.68,0.55,0.46,1.13,0.8,0.91,0.82,0.94,0.88,0.73,1.22,0.76
g_0,0.7,0.81,1.19,0.83,0.72,0.73,0.85,0.53,1.09,0.96,0.8,1.24,0.92,0.82,0.61,0.85
e_0,1.18,0.53,0.77,1.02,0.74,0.65,0.86,0.71,1.09,1.14,1.03,0.56,0.97,1.04,1.01,1.76
