,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.6,0.52,0.73,0.82,0.63,0.47,0.85,1.81,0.92,0.92,0.87,1.01,1.0,1.22,0.5,1.01
d_1,0.53,2.81,0.63,0.51,0.62,0.6,0.85,0.45,1.79,0.95,1.25,1.08,1.05,0.92,1.39,1.09
f_1,1.12,0.58,2.68,0.73,0.49,0.72,0.76,0.8,0.79,0.75,0.82,0.32,1.07,0.78,0.72,0.85
c_1,0.6,0.57,0.65,2.73,1.29,0.51,1.01,0.77,0.41,0.86,0.67,0.95,0.86,0.83,0.9,0.8
b_1,0.65,0.72,0.72,0.54,3.12,1.24,0.81,0.82,0.75,0.88,0.42,0.85,0.91,0.89,0.75,0.71
a_1,0.73,0.7,0.73,0.65,0.41,4.47,1.04,0.97,0.94,0.95,1.06,1.08,0.87,0.97,0.91,0.53
h_1,0.78,0.82,1.03,0.8,0.74,0.75,2.73,0.99,0.97,1.37,1.15,1.13,0.78,1.38,1.17,1.19
d_0,0.74,0.37,0.88,1.55,0.83,0.73,1.25,2.09,0.67,1.08,1.17,1.0,1.14,0.97,1.0,1.32
c_0,0.8,0.98,0.83,0.58,0.68,0.77,1.03,1.13,2.09,0.95,2.39,1.36,1.13,1.26,1.41,1.36
g_1,0.58,1.37,0.64,0.86,0.77,0.59,1.12,1.0,1.1,3.32,1.23,1.84,0.93,0.87,1.32,1.08
b_0,0.79,0.96,0.93,0.84,0.48,0.65,1.39,1.04,1.26,0.99,2.59,1.28,1.33,1.32,1.15,2.59
f_0,0.73,1.06,0.4,0.84,0.81,0.78,1.28,1.24,1.23,1.09,1.33,2.44,1.25,1.54,2.47,1.28
h_0,0.87,0.88,1.09,0.77,0.62,0.69,0.77,1.18,1.05,1.47,1.08,1.18,0.69,1.53,1.06,0.93
g_0,0.64,1.39,0.64,0.88,0.72,0.73,1.24,0.93,1.14,0.91,1.06,1.85,1.1,0.71,1.18,1.12
e_0,0.4,0.99,0.8,0.86,0.79,0.9,1.39,1.02,1.3,1.09,1.51,1.39,1.6,1.42,3.49,1.25
a_0,0.73,0.92,0.72,0.94,0.84,0.54,1.16,1.19,1.17,1.26,1.41,1.26,1.44,1.19,1.24,3.04
