,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.38,0.6,0.98,0.54,0.61,0.51,0.92,2.47,0.84,0.91,0.97,1.06,1.17,1.11,0.79,0.95
f_1,1.65,12.87,0.62,0.65,0.47,0.62,0.84,0.92,0.68,0.79,0.94,0.47,0.78,0.84,0.55,0.81
c_1,0.55,0.64,13.07,0.6,1.65,0.68,0.98,0.72,0.8,0.37,0.59,0.9,0.83,0.84,0.95,0.86
d_1,0.58,0.68,0.45,16.43,0.59,0.59,0.85,0.45,1.2,2.66,1.31,1.06,1.13,1.35,1.01,1.09
b_1,0.43,0.6,0.65,0.63,16.49,1.81,0.91,0.78,0.91,0.88,0.61,0.97,0.89,0.58,1.0,1.02
a_1,0.82,0.83,0.48,0.76,0.66,22.2,1.18,0.91,0.94,0.96,1.04,0.88,1.09,0.48,1.0,1.09
h_1,0.7,1.51,0.76,0.69,0.73,0.67,4.25,1.01,1.61,0.79,0.95,1.13,0.66,1.05,1.02,1.33
d_0,0.58,0.69,2.74,0.42,0.81,0.6,1.12,2.22,1.03,0.62,1.06,1.13,0.94,0.94,1.24,1.13
g_1,0.61,0.61,0.76,1.72,0.67,0.63,0.83,0.72,4.83,1.16,1.04,1.94,1.2,0.78,1.43,0.77
c_0,0.72,0.88,0.52,1.0,0.44,0.77,1.19,1.07,1.16,2.72,3.33,1.43,1.39,1.58,1.39,1.23
b_0,0.81,0.93,0.94,0.81,0.37,0.53,1.03,1.17,1.25,1.12,3.04,1.29,1.27,3.36,1.36,1.02
f_0,0.5,0.56,0.95,1.11,0.77,0.62,1.24,1.0,1.44,0.98,1.17,3.22,1.35,1.46,3.13,1.36
h_0,0.71,1.26,0.68,1.13,0.53,0.7,0.55,0.99,1.38,1.05,1.05,0.99,0.73,1.06,1.01,1.79
a_0,0.76,1.11,0.93,0.82,0.57,0.44,0.89,1.15,0.96,1.28,1.42,1.12,1.49,3.48,1.21,1.17
e_0,0.43,0.95,0.95,0.89,0.79,0.79,1.38,0.94,1.11,1.0,1.13,1.2,1.28,1.14,3.47,1.31
g_0,0.6,0.64,0.64,1.99,0.68,0.78,1.06,0.86,0.86,1.2,1.09,2.32,1.2,0.99,1.6,0.78
