,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.54,0.47,0.64,0.87,0.61,0.52,0.99,1.66,0.79,0.88,1.04,1.06,0.98,1.08,0.72,0.86
d_1,0.59,2.7,0.71,0.52,0.62,0.57,0.92,0.48,0.93,1.74,1.12,1.17,1.0,0.86,1.04,1.22
f_1,1.07,0.64,2.65,0.62,0.64,0.56,0.77,0.87,0.79,0.8,1.0,0.4,1.08,1.04,0.69,0.81
c_1,0.57,0.63,0.68,2.83,1.2,0.57,0.9,0.96,0.82,0.3,0.67,0.84,0.78,0.89,0.89,0.97
b_1,0.6,0.71,0.71,0.56,3.17,1.42,0.86,0.77,0.95,0.88,0.36,0.89,0.94,0.59,0.9,0.81
a_1,0.71,0.7,0.71,0.71,0.55,4.54,0.88,0.7,0.93,0.95,0.82,0.88,0.95,0.43,0.88,0.92
h_1,0.69,0.96,1.13,0.79,0.76,0.7,2.63,0.97,1.31,0.98,1.27,0.92,0.68,1.2,1.09,1.36
d_0,0.8,0.42,0.79,1.59,0.72,0.79,1.19,1.99,1.06,0.72,1.35,0.92,1.18,1.26,1.05,1.14
g_1,0.69,1.27,0.63,0.82,0.65,0.67,1.09,0.93,3.21,1.07,1.07,2.21,0.91,1.02,1.26,0.87
c_0,0.77,1.01,0.9,0.45,0.57,0.78,1.13,1.25,1.13,2.26,2.37,1.27,1.52,1.26,1.39,1.26
b_0,0.89,0.91,0.89,0.89,0.42,0.52,1.22,1.19,1.14,1.1,2.4,1.25,1.42,2.49,1.25,1.16
f_0,0.76,1.0,0.49,0.81,0.76,0.75,1.24,1.12,1.37,1.3,1.31,2.64,1.1,1.38,2.73,1.25
h_0,0.76,1.01,1.0,0.94,0.6,0.75,0.7,1.06,1.43,1.09,1.0,1.05,0.78,1.23,1.12,1.69
a_0,0.83,0.97,0.8,0.91,0.87,0.28,1.18,1.11,1.37,1.04,1.05,1.23,1.46,2.83,1.28,0.97
e_0,0.48,0.97,0.88,0.84,0.75,0.59,1.3,1.41,1.2,1.29,1.38,1.18,1.58,1.47,3.48,1.69
g_0,0.61,1.4,0.76,0.69,0.67,0.68,1.09,1.04,0.75,1.36,1.25,1.58,1.19,1.22,1.36,0.76
