,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.76,0.87,1.0,0.71,0.75,0.81,0.92,0.84,1.55,0.97,0.91,0.95,0.96,0.97,0.71,1.02
f_1,1.31,1.86,0.8,0.8,0.71,0.68,0.78,0.91,0.98,0.99,0.92,0.6,0.85,0.95,0.69,0.92
c_1,0.71,0.78,1.91,0.8,1.29,0.82,0.99,0.91,0.93,0.71,0.57,1.14,0.91,0.91,1.03,1.02
d_1,0.71,0.83,0.73,2.04,0.77,0.78,1.1,1.07,0.76,1.24,1.7,1.09,1.08,1.02,1.15,0.94
b_1,0.79,0.81,0.77,0.75,2.11,1.41,0.98,0.88,0.81,0.67,0.88,0.92,0.7,0.99,0.83,0.95
a_1,0.84,0.83,0.84,0.9,0.76,2.61,1.13,1.12,0.85,1.0,0.85,0.91,0.83,1.1,1.04,0.9
h_1,0.86,1.2,0.81,0.95,0.82,0.65,1.72,1.27,0.84,0.99,1.05,0.92,1.07,0.89,1.17,1.28
g_1,0.74,0.83,0.88,1.29,0.77,0.73,1.03,2.08,0.75,1.06,1.05,1.59,0.91,1.02,1.39,0.76
d_0,0.82,0.9,1.41,0.67,0.94,0.77,0.89,0.92,1.38,1.03,0.7,0.98,1.05,1.02,1.09,1.0
b_0,0.86,1.0,0.88,1.03,0.65,0.64,1.05,1.08,0.96,1.66,1.25,1.18,2.18,1.17,1.25,1.22
c_0,0.92,0.95,0.78,0.96,0.68,0.81,1.05,1.01,1.03,1.85,1.59,1.15,1.56,1.19,1.2,1.19
f_0,0.66,0.76,0.97,0.99,1.04,0.73,1.1,1.13,1.0,1.12,1.12,1.88,1.32,1.13,2.27,1.08
a_0,0.8,1.02,0.86,1.0,1.0,0.55,0.99,0.93,1.08,1.01,1.03,1.0,1.88,1.2,1.09,1.31
h_0,0.89,1.09,0.86,1.0,0.82,0.74,0.81,1.31,0.88,1.03,0.95,1.01,1.03,0.78,0.99,1.27
e_0,0.7,1.06,0.95,1.0,0.85,0.56,0.98,0.99,0.96,1.19,1.05,1.15,1.35,1.29,2.07,1.23
g_0,0.9,0.69,0.89,1.24,0.8,0.77,0.94,0.75,0.97,1.21,1.05,1.45,1.27,0.98,1.17,0.89
