,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,36.38,0.13,0.06,0.07,0.06,0.08,0.25,0.42,0.28,0.27,0.34,,0.51,0.39,0.54,0.45
e_1,0.07,37.19,0.05,0.07,0.06,0.06,0.3,0.7,0.23,0.4,0.29,0.44,0.47,0.31,0.6,
d_1,0.08,0.06,39.82,0.06,0.08,0.08,0.27,,0.22,0.76,0.36,0.29,0.74,0.3,0.5,0.35
c_1,0.07,0.04,0.06,41.65,0.13,0.09,0.26,0.36,0.35,,0.27,0.47,0.76,0.37,0.55,0.37
b_1,0.05,0.06,0.07,0.09,50.18,0.12,0.31,0.36,0.33,0.3,,0.42,0.47,,0.68,0.41
a_1,0.06,0.07,0.06,0.06,,77.04,0.28,0.43,0.32,0.44,0.39,0.33,0.63,,0.42,0.39
h_1,0.41,0.22,0.25,0.26,0.25,0.27,24.75,1.68,1.45,1.39,1.17,1.02,,1.43,2.67,1.89
d_0,0.38,0.5,,0.69,0.24,0.25,1.99,17.07,1.36,2.01,1.65,1.57,3.26,1.54,2.92,1.3
g_1,0.26,0.13,0.46,0.18,0.28,0.22,1.21,1.02,35.14,1.16,1.87,3.3,2.28,,,
c_0,0.31,0.36,0.41,,0.28,0.31,1.48,1.66,1.27,18.01,4.2,2.22,2.95,2.44,2.77,1.64
b_0,0.21,0.33,0.31,0.32,,0.35,1.89,2.5,1.39,1.76,20.14,2.3,2.77,4.38,2.81,2.35
f_0,,0.33,0.4,0.29,0.38,0.34,1.56,2.19,1.37,2.88,2.49,19.69,3.76,2.43,1.97,3.42
h_0,0.87,0.6,0.52,0.51,0.59,0.41,,2.0,2.98,3.01,3.26,1.95,,2.48,8.29,2.6
a_0,0.28,0.3,0.25,0.29,0.38,,1.31,2.32,1.47,1.97,1.89,2.58,3.58,30.25,3.23,
g_0,0.41,0.4,0.9,0.86,0.63,0.51,1.58,2.44,,2.94,2.46,4.91,5.35,2.18,,
e_0,0.31,,0.42,,0.38,,2.51,2.05,,1.33,3.05,2.02,2.95,2.05,2.04,35.61
