,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,0.76,0.61,0.86,0.76,0.76,1.46,1.61,2.74,1.36,1.88,1.83,2.33,1.49,0.92,2.2
f_1,1.16,2.45,0.73,0.69,0.76,0.69,1.42,1.4,1.89,1.92,1.71,0.62,1.69,1.91,1.23,1.78
d_1,0.74,0.86,2.51,0.65,0.85,0.79,1.55,1.27,0.73,2.69,1.87,1.59,2.46,1.66,1.87,1.88
c_1,0.66,0.74,0.94,2.52,1.32,0.59,1.64,1.36,1.29,0.54,1.45,1.8,1.89,1.56,1.67,2.18
b_1,0.71,0.74,0.84,0.59,2.7,1.46,1.34,1.74,1.96,1.93,0.62,1.79,1.94,1.46,1.43,1.94
a_1,0.82,0.79,0.77,1.07,0.52,3.24,1.84,1.45,1.79,1.33,1.51,1.87,2.18,0.7,1.48,1.9
h_1,1.03,1.23,0.97,0.98,1.13,0.72,4.1,2.41,1.81,2.02,2.25,1.83,1.56,2.44,2.32,2.95
g_1,0.8,0.97,1.48,1.11,0.88,0.87,1.41,4.26,1.88,2.4,1.8,3.51,2.39,2.16,2.77,1.91
d_0,0.96,1.02,0.57,1.94,0.69,0.99,2.32,1.96,3.58,2.09,2.42,2.51,3.06,2.41,2.65,3.09
c_0,1.13,1.07,1.0,0.85,0.83,0.98,2.21,1.85,2.39,3.84,3.44,2.76,3.3,2.71,2.89,3.75
b_0,1.07,1.1,1.16,1.16,0.39,0.77,1.95,2.23,2.42,1.93,4.05,2.41,2.87,3.97,2.25,3.14
f_0,1.04,0.79,1.22,1.08,0.97,0.95,1.73,1.86,2.01,2.09,2.46,4.02,3.11,2.17,5.26,2.73
h_0,0.83,1.62,0.8,1.08,0.89,1.12,1.07,2.38,1.79,1.88,2.28,2.46,1.96,2.48,2.28,3.19
a_0,1.11,1.02,1.11,1.16,1.0,0.58,1.89,2.0,2.32,2.3,2.01,2.48,3.0,4.65,2.25,3.12
e_0,0.68,1.2,1.04,1.16,1.01,1.04,2.27,1.55,2.51,2.47,3.27,1.56,2.86,2.64,4.97,3.13
g_0,0.88,0.98,1.46,0.95,0.94,1.15,1.82,1.41,1.78,2.0,2.41,3.13,2.8,2.52,2.3,1.68
