,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,0.6,0.85,0.7,0.85,0.66,0.17,0.14,0.23,0.14,0.15,0.33,0.1,0.15,0.16,0.15
e_1,0.42,0.18,0.82,0.73,0.85,0.84,0.24,0.21,0.31,0.17,0.15,0.21,0.13,0.6,0.17,0.14
c_1,0.66,0.73,0.16,1.03,0.8,0.76,0.23,0.09,0.24,0.27,0.17,0.13,0.1,0.1,0.12,0.1
d_1,0.84,0.96,0.75,0.14,0.74,0.65,0.22,0.43,0.14,0.13,0.16,0.15,0.12,0.18,0.18,0.07
b_1,0.93,0.83,0.4,0.89,0.13,0.96,0.22,0.2,0.2,0.26,0.36,0.17,0.12,0.13,0.16,0.09
a_1,0.95,0.87,0.82,1.0,0.35,0.1,0.27,0.24,0.25,0.19,0.21,0.16,0.11,0.15,0.33,0.14
h_1,0.64,0.59,0.64,0.5,0.77,0.55,0.06,0.12,0.18,0.13,0.12,0.12,0.2,0.11,0.12,0.08
d_0,0.67,0.32,0.76,1.48,0.65,0.58,0.2,0.07,0.19,0.15,0.13,0.11,0.09,0.15,0.12,0.1
g_1,0.77,0.52,0.63,0.63,0.76,0.68,0.13,0.12,0.05,0.12,0.11,0.11,0.07,0.13,0.11,0.16
c_0,0.64,0.65,1.68,0.3,0.69,0.76,0.16,0.18,0.15,0.06,0.15,0.14,0.08,0.12,0.13,0.09
b_0,0.73,0.48,0.93,0.45,1.8,0.57,0.19,0.13,0.16,0.06,0.05,0.13,0.09,0.12,0.12,0.09
f_0,1.16,0.54,0.68,0.6,0.58,0.58,0.17,0.14,0.12,0.1,0.11,0.05,0.09,0.1,0.13,0.05
h_0,0.68,0.53,0.64,0.51,0.51,0.54,0.38,0.12,0.18,0.12,0.14,0.12,0.13,0.1,0.11,0.1
e_0,0.85,1.1,0.7,0.49,0.58,0.55,0.15,0.11,0.15,0.13,0.13,0.07,0.07,0.04,0.1,0.07
a_0,0.57,0.46,0.74,0.55,0.81,1.05,0.2,0.12,0.18,0.1,0.07,0.16,0.1,0.16,0.04,0.1
g_0,0.85,0.68,0.63,0.54,0.57,0.55,0.13,0.12,0.27,0.13,0.11,0.1,0.05,0.09,0.1,0.14
