,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.39,0.97,0.78,0.6,0.7,0.7,1.61,1.01,3.12,1.4,1.99,1.76,2.15,1.73,1.53,1.86
f_1,0.74,2.36,1.41,0.79,0.64,0.61,1.57,1.83,1.67,1.28,1.55,1.04,2.06,1.25,0.93,1.66
e_1,0.68,0.87,2.42,0.99,0.79,0.61,1.48,3.23,1.67,1.31,1.47,1.56,2.23,1.45,1.04,1.94
c_1,0.87,0.79,0.71,2.48,1.42,0.57,1.43,1.6,0.99,1.25,1.14,1.52,2.12,1.35,1.46,1.75
b_1,0.85,0.84,0.69,0.88,2.62,1.28,1.58,1.93,1.38,1.3,1.15,1.61,2.03,1.04,1.34,1.69
a_1,0.91,1.03,0.82,0.89,0.58,3.01,1.61,1.53,1.54,1.39,1.66,1.52,2.39,0.84,1.29,1.91
h_1,0.95,1.34,0.92,0.85,0.81,0.7,3.29,1.51,1.77,1.82,1.65,1.78,1.71,1.22,1.58,2.62
d_0,0.58,0.86,0.82,1.68,0.99,0.76,1.62,2.97,1.29,1.49,1.74,1.63,2.34,1.53,1.46,2.06
c_0,1.08,1.07,0.9,0.74,0.63,0.63,1.8,1.87,3.07,1.64,3.15,2.01,2.36,2.1,1.64,2.15
g_1,1.46,0.8,0.66,0.89,0.86,0.62,1.48,1.52,1.84,3.6,1.86,2.82,2.39,1.18,1.81,1.63
b_0,1.13,1.09,0.86,0.94,0.52,0.52,1.8,1.73,2.11,1.61,3.36,1.88,2.89,3.28,1.82,2.16
f_0,1.2,0.74,0.76,0.94,0.97,0.59,1.64,1.55,2.26,1.71,2.04,3.42,2.74,1.64,3.81,2.2
h_0,1.04,1.21,0.81,0.93,0.83,0.7,1.31,1.74,1.81,2.27,1.9,1.7,1.74,1.64,1.65,2.79
a_0,1.05,1.0,0.91,0.98,0.81,0.39,2.02,2.02,2.14,1.8,2.13,1.78,2.81,3.48,1.7,2.21
e_0,1.07,1.05,0.72,0.91,1.02,0.59,1.57,1.8,2.03,1.64,1.67,2.12,3.01,1.76,3.5,2.77
g_0,1.53,0.82,0.68,0.91,0.88,0.73,1.57,1.36,2.02,1.22,1.72,2.67,2.28,1.68,2.0,1.71
